PIT Tag #,Date,Time,Researcher,Species,Encounter,Detection,Recap,Location,Mode,Avg Count,Error,Elevatlon,Easting,Northing,Waypoint,Habitat,Weather,Cloud cover,Ta,Tg,Comments,Pillow case,SVL,VTL,S + B,Bag,Mass,Sex,Age class,Gravid,Rattle paint,Photo #,Comments,Rel date,Rel time,Rel researcher,Days in captivity,Rel locatlon,Behaviour,Record #,Recapture Information,Hibernation Site
456d5b1c60,10/4/2005,13:11,JRB,Rattlesnake,Capt,Sound,No,Den 24,3D diff,50,6.1,449,321188,5436347,Co01100405,"Den, Rock outcrop","Warm, Windy",50,,,,Striped,66.5,5,291,101,190,Male,Adult,NA,Trans blue,"30, 31","Implant, larry",15/04/2005,12:11,"JRB, RH",5,At capture location,"Basking, Coiled",2005-01,,Den 24
456d5b7a34,10/4/2005,13:14,JRB,Rattlesnake,Capt,Sound,No,Den 24,3D diff,50,6,449,321188,5436347,Co01100405,"Den, Rock outcrop","Warm, Windy",50,,,,White plad,80,6.5,405,83,322,Male,Adult,NA,Trans blue,28. 29,"Implant, Thumper",15/04/2005,12:11,"JRB, RH",5,At capture location,"Basking, Coiled",2005-02,,Den 24
445d720a51,10/4/2005,13:40,JRB,Rattlesnake,Capt,Sight,No,N of den 22,3D diff,87,5.4,365,321111,5436277,Co03100405,Rock slide,"Warm, Cloudy, Windy",75,,,,Beige flowers,56.5,3.4,280,81,199,Female,Adult,Yes,"Fiesta yellow, Pt purple, Red","41, 42",,15/04/2005,11:52,"JRB, RH",5,At capture location,"Coiled, Under rock",2005-03,,Den 22
456d5c6801,10/4/2005,14:00,JRB,Rattlesnake,Capt,Sight,No,Den22,3D diff,50,6.6,365,321128,5436256,Co04100405,"Den, Rock slide","Warm, Windy",75,,,,White flowers,63.5,5.3,290,93,197,Male,Adult,NA,Trans blue,32 33,"Implant, Warrick",15/04/2005,11:43,"JRB, RH",5,At capture location,"Basking, Looped",2005-04,,Den 22
456d636c48,10/4/2005,14:39,JRB,Rattlesnake,Capt,Sight,No,Den 21,3D diff,50,6.3,376,321285,5436115,Co05100405,"Rock outcrop, Den","Warm, Overcast",100,,,,Pink and blue,72,5.5,339,76,263,Male,Adult,NA,Trans blue,"33, 34","Implant, Zaphod",15/04/2005,11:22,"JRB, RH",5,At capture location,"Coiled, Basking",2005-05,,Den 21
6,18/04/2005,12:00,"JRB, RH",Rattlesnake,Capt,Sight,No,Den 06,3D diff,50,4.9,550,322933,5435288,Den 06,"Den, Rock slide","Warm, Sunny",50,,,,None,68,5.6,365,125,240,Male,Adult,NA,Fiesta yellow,Record # in photo,,18/04/2005,12:00,JRB,0,At capture location,,2005-06,,Den 06
452f513c7d,18/04/2005,12:00,"JRB, RH",Rattlesnake,Capt,Sight,Yes,Den 06,3D diff,50,4.9,550,322933,5435288,Den 06,"Den, Rock slide","Warm, Sunny",50,,,,None,60.5,44,290,125,165,Male,Sub Adult,NA,"Fuchsia, Deep aqua, Royal blue",Record # in photo,,18/04/2005,12:00,JRB,0,At capture location,,2005-07,"rec 2004-143, 2004-143a",Den 06
8,18/04/2005,12:00,"JRB, RH",Rattlesnake,Capt,Sight,No,Den 06,3D diff,50,4.9,550,322933,5435288,Den 06,"Den, Rock slide","Warm, Sunny",50,,,,None,66,5,320,125,195,Male,Adult,,Fiesta yellow,Record # in photo,,18/04/2005,12:00,JRB,0,At capture location,,2005-08,,Den 06
9,18/04/2005,12:00,"JRB, RH",Rattlesnake,Capt,Sight,No,Den 06,3D diff,50,4.9,550,322933,5435288,Den 06,"Den, Rock slide","Warm, Sunny",50,,,,None,86,6.7,600,100,500,Male,Adult,NA,Fiesta yellow,Record # in photo,"Mass is min esimate, he maxed the scale",18/04/2005,12:00,JRB,0,At capture location,,2005-09,,Den 06
10,18/04/2005,12:00,"JRB, RH",Rattlesnake,Capt,Sight,No,Den 06,3D diff,50,4.9,550,322933,5435288,Den 06,"Den, Rock slide","Warm, Sunny",50,,,,None,71.2,5.3,445,125,320,Male,Adult,NA,Fiesta yellow,Record # in photo,,18/04/2005,12:00,JRB,0,At capture location,,2005-10,,Den 06
452f654814,18/04/2005,12:00,"JRB, RH",Rattlesnake,Capt,Sight,Yes,Den 06,3D diff,50,4.9,550,322933,5435288,Den 06,"Den, Rock slide","Warm, Sunny",50,,,,None,60.1,5,310,125,185,Male,Adult,NA,"Fuchsia, Lt blue, Citrus green",Record # in photo,,18/04/2005,12:00,JRB,0,At capture location,,2005-11,rec 2004-146,Den 06
12,18/04/2005,12:00,"JRB, RH",Rattlesnake,Capt,Sight,No,Den 06,3D diff,50,4.9,550,322933,5435288,Den 06,"Den, Rock slide","Warm, Sunny",50,,,,None,78.4,5.6,415,125,290,Male,Adult,NA,Fiesta yellow,Record # in photo,,18/04/2005,12:00,JRB,0,At capture location,,2005-12,,Den 06
13,18/04/2005,12:00,"JRB, RH",Rattlesnake,Capt,Sight,No,Den 06,3D diff,50,4.9,550,322933,5435288,Den 06,"Den, Rock slide","Warm, Sunny",50,,,,None,59.2,3.7,340,125,215,Female,Sub Adult,No,Fiesta yellow,Record # in photo,,18/04/2005,12:00,JRB,0,At capture location,,2005-13,,Den 06
14,18/04/2005,12:00,"JRB, RH",Rattlesnake,Capt,Sight,No,Den 06,3D diff,50,4.9,550,322933,5435288,Den 06,"Den, Rock slide","Warm, Sunny",50,,,,None,61.2,4.7,277,125,152,Male,Sub Adult,NA,Fiesta yellow,Record # in photo,,18/04/2005,12:00,JRB,0,At capture location,,2005-14,,Den 06
