PIT Tag #,Date,Time,Researcher,Species,Encounter,Detection,Recap,Location,Mode,Avg Count,Error,Elevatlon,Easting,Northing,Waypoint,Habitat,Weather,Cloud cover,Ta,Tg,Comments,Pillow case,SVL,VTL,S + B,Bag,Mass,Sex,Age class,Gravid,Rattle Paint,Photo #,Comments,Rel date,Rel time,Rel researcher,Days in captivity,Rel locatlon,Behaviour,Record #,Type,Hibernation Site
433e422d2f,5/5/2006,16:11,"JRB, KH",Rattlesnake,Capt,Sight,Yes,"Spirit ridge, 2nd condo from N",3D diff,50,4.2,329,322072,5434725,Co03050506,Gravel beside building,"Warm, Sunny",75,,,,Green patterns,62.5,5.3,254,94,160,Male,Adult,NA,"Blue, green, white",yes,,6/5/2006,11:06,"JRB, KH",1,780m N of capture. E321782 N5435452. Acc-3.0.,On the move,2006-23,Capt,
433e422d2f,8/8/2006,14:36,Victor,Rattlesnake,,,Yes,Golf Course under large rock on 6 hole,3D diff,100,4.9,375,322557,5435019,Co04080806,CG,"Warm, Smokey",75,,,,Troll,,,,,,,,,"Blue, Green, White",,Trans 241m.,10/8/2006,17:54,KH,2,E322453. N5435241. A4.9,"Coiled, Under rock",2006-183,06recap,
433e245f02,2/8/2006,10:14,"KH, LG",Rattlesnake,Capt,Sound,Yes,N E of bathroom 4,3D diff,100,3.5,306,321365,5435422,Co01020806,"Shrub-steppe, in open","Warm, Sunny",0,,,,Yellow,,6.2,399,151,248,Female,Adult,NA,"Blue, White, Red.",Yes,Records messed up. Paint colour improperly recorded. Also originally sexed as female but clearly male.,5/8/2006,8:36,KH,3,At capture location,On the move,2006-174,Capt,
433d615946,14/08/2006,9:30,"KH, LG",Rattlesnake,,Sight,Yes,N of bathroom 4,3D diff,100,2.6,301,321256,5435521,Co01140806,"Shrub-steppe,-fence","Warm, Sunny",0,24.4,,,Pink,,4,345,128,217,Female,Adult,,"Blue, White, White",Yes,,16/08/2006,9:47,"KH, LG",2,At capture location,Working fence,2006-192,Capt,
61,27/06/2006,20:14,"KH, LG",Rattlesnake,Capt,Sight,No,East of F sites ,3D diff,50,4.8,304,321516,5434942,Co05270606,Shrub-steppe at fence,"Hot, Sunny",0,34.9,35.5,,White bag with yellow leaves,,1.9,108,96,12,,Neonate,NA,Citrus green,Yes,Too small for tag & probe.,30/06/2006,17:39,"KH, LG, JB",3,At capture location,Work the fence,2006-113,Capt,
62,3/7/2006,16:30,CG staff,Rattlesnake,Capt,,No,Lenny's trailer,3D diff,25,2.4,280,321386,5435187,Co02170506,CG,"Warm, Cloudy",75,,,,White plaid,,2.4,123,80,43,,Juvenile,NA,Citrus green,Yes,Too small for probe & tag,6/7/2006,15:01,"KH, LG",3,Trans 50m across fence. E - 321474. N - 5435289. A - 3.0.,,2006-122,Capt,
63,24/07/2006,8:37,"KH, LG, AG",Rattlesnake,Capt,Sound,No,North east High desert,3D diff,115,2.4,363,321672,5435897,Co01240706,"Shrub-steppe, Antelope brush","Warm, Sunny",0,29.6,,,RYGB Stripe,,2.1,109,65,44,,Juvenile,NA,Citrus green,Yes,Too small for probe & tag.,26/07/2006,8:20,KH,2,At capture location,On the move,2005-153,Capt,
64,31/07/2006,10:37,Bob,Rattlesnake,Capt,Sight,No,Roof of centre,3D diff,110,3.6,333,322140,5434962,Co02310706,Roof,"Warm, Sunny",25,,,,Lion king,,1.4,120,109,11,,Neonate,NA,Citrus green,Yes,Too small for tag & probe. Trans 405m.,2/8/2006,9:12,"KH, LG",2,A. 3.6  E.322173  N.5435364,,2006-172,Capt,
58,6/6/2006,17:00,CG staff,Rattlesnake,Capt,Sight,No,Campground,3D diff,300,2.9,281,321490,5434730,Co02060606,CG,,,,,,Lion King,,2.3,,,,,Neonate,NA,Citrus green,Yes,Too small for tag & probe. Translocated 164m. Forgot to weigh for some reason. Release postponed for crazy rainstorms.,9/6/2006,15:15,"KH, LG",3,E 321625 N 5434827 A 2.6 ,,2006-80,Capt,
59,14/06/2006,12:19,"KH, LG",Rattlesnake,Capt,Sight,No, N desert south east end,3D diff,50,4.6,348,321128,5436084,Co01140606,"Shrub-steppe, , Sagebrush","Cool, Cloudy",100,22.8,22.4,,White with yellow flowers,,2.5,121,95,26,,Juvenile,NA,Citrus green,Yes,Too small for tag & probe.,16/06/2006,20:11,"KH, KW",2,At capture location,On the move,2006-91,Capt,
60,23/06/2006,15:50,"KH, LG",Rattlesnake,Capt,Sound,No,Gate on back road,3D diff,25,2.6,304,321855,5434741,Co01230606,"Shrub-steppe, , Road","Hot, Sunny",25,35.2,33.9,,Troll,,1.9,98,88,10,,Neonate,NA,Citrus green,,Too small for tag or probe,25/06/2006,17:45,"KH, LG",2,At capture location,On the move,2006-98,Capt,
65,9/8/2006,10:40,"KH, LG",Rattlesnake,,Sight,No,E of lenny's trailer,3D diff,50,3.3,296,321436,5435210,Co01090806,"Shrub-steppe, fence","Cool, Cloudy, Windy",,26.1,,,Lt. blue,,2,121,109,12,,Juvenile,NA,Citrus green,Yes,Too small for tag & probe.,11/8/2006,17:25,KH,2,At capture location,Working the fence,2006-184,Capt,
66,9/8/2006,16:01,CG staff,Rattlesnake,,,No,"Campground, site 191",3D diff,70,4.9,275,321334,5435281,Co02090806,CG,"Warm, Cloudy, Windy",100,,,,Blue & orange stripe,,2.1,130,122,8,,Juvenile,NA,Citrus green,Yes,Too small for tag & probe. Trans 50m across fence.,11/8/2006,17:16,KH,2,E321397. N5435392. A5.0.,,2006-185,Capt,
47226c5c08,7/5/2006,16:38,"JRB, KH",Rattlesnake,Capt,Sound,No,Chief's lookout,3D diff,75,3.9,357,322345,5435194,Co03070506,"Shrub-steppe, in open","Warm, Cloudy",75,,,,"Red, blue, green stripes",55.6,2.9,238,84,154,Female,Sub Adult,No,"Citrus green, Daisy cream, Blue bell",Yes,,8/5/2006,11:10,"KH, LG",1,At capture location,On the move,2006-31,Capt,
