Categories,PIT Tag #,Date,Time,Researcher,Spp,Encounter,Detection,Recap,Location,Mode,Avg Count,Error,Elevatlon,Easting,Northing,Waypoint,Habitat,Weather,Cloud cover,Ta,Tg,Comments,Pillow case,SVL,VTL,S + B,Bag,Mass,Sex,Age class,Gravid,Rattle paint,Photo #,Comments,Rel date,Rel time,Rel researcher,Days in captivity,Rel locatlon,Behaviour,Record #,Type
Unfiled,485F547A77,04/14/2008,01:36 PM,"OMM, CIK",Rattlesnake,,Sight,No,Rancher creek den,3D diff,100,12.7,459,322480,5435567,086,"Rock outcrop, Rock slide","Sunny, Warm",0,,,,Blue flower pattern,4.1,55.8,302,110,192,Female,Adult,No,"Gold, Daisy cream, Blue bell",4557,,04/18/2008,01:19 PM,"OMM, CIK",4,At capture location,On rock,2008-01,Capt
Unfiled,445C745512,04/14/2008,02:05 PM,"OMM, CIK",Rattlesnake,,Sight,No,Rancher creek den,,,,,322,543,,"Rock outcrop, Rock pile","Sunny, Warm",0,,,,Plain grey,71.1,6.8,347,95,252,Male,Adult,NA,"Fuchsia, Deep aqua, Royal blue",4563,,04/18/2008,01:19 PM,"OMM, CIK",4,At capture location,On rock,2008-02,Capt
Unfiled,484345023D,04/16/2008,03:52 PM,"OMM, CIK",Rattlesnake,,Sight,No,Den06,,,,,322,543,,"Rock outcrop, Rock slide","Sunny, Warm",10,,,,Green,57.6,3.4,245,77,168,Female,Adult,Yes,"Gold, Red, Pt purple",4581,,,,,,,On rock,2008-03,Capt
Unfiled,4462284360,05/01/2008,09:21 AM,"OMM, CIK",Rattlesnake,,Sight,No,Village,3D diff,,,329,321979,5435336,CO080501,"Building, Pit-house","Cool, Cloudy",25,18.8,14.1,,Lion king,,5.9,291,107,184,Male,Adult,NA,"Fuchsia, Lt blue, Fuchsia",,,05/02/2008,11:00 AM,OMM,1,Village riperean,Basking,2008-04,Capt
Unfiled,45310C3822,05/05/2008,01:00 PM,LG,Rattlesnake,,Sight,Yes,Village,3D diff,95,4.9,324,321999,5435359, c008050501,Riparian,"Sunny, Warm",50,26,28,,"Pink, blue, green patterns",75,6,408,102,306,Male,Adult,NA,"Tango blue, Fiesta yellow",,Derek,05/06/2008,03:38 PM,OMM,1,Village riperean,Coiled,2008-05,Capt
Unfiled,4536761418,05/06/2008,03:45 PM,"OMM, CIK",Rattlesnake,,Sight,No,Centre first shelter,3D diff,50,4.5,328,322081,5435175,CO080705,"Shrub-steppe, Sagebrush","Overcast, Cool",100,23.6,26.6,,Blue flowers,,3.4,266,109,157,Female,Adult,NA,"Fiesta yellow, Lt blue, Tango blue",,,05/07/2008,11:38 AM,CIK,1,Village riperean,Under sage brush,2008-06,Capt
Unfiled,452E4B5B32,05/07/2008,03:28 PM,"LG, TR
",Rattlesnake,,Sight,No,East of Lenny's trailor,3D diff,64,4.7,290,321444,5435187, CO08050704,Shrub-steppe,"Sunny, Warm",50,,,,Plaide,,5.5,355,76,279,Male,Adult,NA,"Fuchsia, Deep aqua, Car pink",,Going to become a transmitter snake,05/09/2008,05:00 PM,LG,2,"Close to cap location, better cover","On the move, in open",2008-08,Capt
Unfiled,445C7C2E10,05/07/2008,10:20 AM,"LG, TR",Rattlesnake,,Sight,Yes,Between 3-4 drift fence,3D diff,77,5.3,381,322728,5434828,. C008050702,"Shrub-steppe, Sagebrush","Sunny, Warm",50,,,,Pink rose bag,,4.4,298,103,195,Female,Adult,Yes,"Fuchsia, Daisy cream, Lt blue",,One egg possibly,05/08/2008,01:00 PM,LG,1,At capture location,"Coiled, Under sage brush",2008-09,Capt
Unfiled,486026452C,05/07/2008,05:01 PM,"LG, TR",Rattlesnake,,Sight,No,In 4th drift fence,3D diff,34,2.2,382,322725,5434818, c008050703,Shrub-steppe,"Sunny, Warm",50,,,,Pink flower and stripes,61.3,5.4,301,124,177,Male,Adult,NA,"Gold, Red, Tango blue",,,05/08/2008,12:30 PM,LG,1,"Close to cap location, better cover",Stretched out,2008-10,Capt
Unfiled,4849630A7A,05/08/2008,02:32 PM,LG,Rattlesnake,,Sight,No,"West fairway 1, Golf Course",3D diff,195,5.3,335,322194,5434846, c008050805,"Grassland, Sagebrush","Raining, Cool, Cloudy",75,15.6,16,,Lion king,58.9,3.4,303,104,199,Female,Adult,Yes,"Gold, Red, Citrus green",,Three distinct lumps,05/09/2008,09:32 AM,LG,1,Pine tree bridge,Stretched out,2008-11,Capt
