PIT Tag #,Date,Time,Researcher,Spp,Encounter,Detection,Recap,Location,Mode,Avg Count,Error,Elevatlon,Easting,Northing,Waypoint,Habitat,Weather,Cloud cover,Ta,Tg,Comments,Pillow case,SVL,VTL (cm),S + B,Bag,Mass (g),Sex,Age class,Gravid,Rattle paint,Photo #,Comments,Rel date,Rel time,Rel researcher,Days in captivity,Rel locatlon,Behaviour,Record #,Type,Dist to Building,Dist to Road,Dir to Building,Dir to Road,
,5/2/2005,12:25,"CIK,jh",Rattlesnake,,Sound,No,High desert,3D diff,75,4,347,321892,5435375,494,Shrub-steppe,"Sunny, Cloudy",100,25,23,No paint,10,,4.2,218,98,120,Male,Juvenile,No,,,Needs pittag,,,,,,On the move,2008-,Capt,,,,,
445C745512,4/14/2008,14:05,"OMM, CIK",Rattlesnake,,Sight,No,Rancher creek den,,,,,322,543,,"Rock outcrop, Rock pile","Sunny, Warm",0,,,,Plain grey,71.1,6.8,347,95,252,Male,Adult,NA,"Fuchsia, Deep aqua, Royal blue",4563,,4/18/2008,13:19,"OMM, CIK",4,At capture location,On rock,Feb-08,Capt,,,,,
485F547A77,4/14/2008,13:36,"OMM, CIK",Rattlesnake,,Sight,No,Rancher creek den,3D diff,100,12.7,459,322480,5435567,86,"Rock outcrop, Rock slide","Sunny, Warm",0,,,,Blue flower pattern,4.1,55.8,302,110,192,Female,Adult,No,"Gold, Daisy cream, Blue bell",4557,,4/18/2008,13:19,"OMM, CIK",4,At capture location,On rock,Jan-08,Capt,,,,,
484345023D,4/16/2008,15:52,"OMM, CIK",Rattlesnake,,Sight,No,Den06,,,,,322,543,,"Rock outcrop, Rock slide","Sunny, Warm",10,,,,Green,57.6,3.4,245,77,168,Female,Adult,Yes,"Gold, Red, Pt purple",4581,,,,,,,On rock,Mar-08,Capt,,,,,
4462284360,5/1/2008,9:21,"OMM, CIK",Rattlesnake,,Sight,No,Village,3D diff,,,329,321979,5435336,CO080501,"Building, Pit-house","Cool, Cloudy",25,18.8,14.1,,Lion king,,5.9,291,107,184,Male,Adult,NA,"Fuchsia, Lt blue, Fuchsia",,,5/2/2008,11:00,OMM,1,Village riperean,Basking,Apr-08,Capt,,,,,
45310C3822,5/5/2008,13:00,LG,Rattlesnake,,Sight,Yes,Village,3D diff,95,4.9,324,321999,5435359, c008050501,Riparian,"Sunny, Warm",50,26,28,,"Pink, blue, green patterns",75,6,408,102,306,Male,Adult,NA,"Tango blue, Fiesta yellow",,Derek,5/6/2008,15:38,OMM,1,Village riperean,Coiled,May-08,Capt,,,,,
4536761418,5/6/2008,15:45,"OMM, CIK",Rattlesnake,,Sight,No,Centre first shelter,3D diff,50,4.5,328,322081,5435175,CO080705,"Shrub-steppe, Sagebrush","Overcast, Cool",100,23.6,26.6,,Blue flowers,,3.4,266,109,157,Female,Adult,NA,"Fiesta yellow, Lt blue, Tango blue",,,5/7/2008,11:38,CIK,1,Village riperean,Under sage brush,Jun-08,Capt,,,,,
445C7C2E10,5/7/2008,10:20,"LG, TR",Rattlesnake,,Sight,Yes,Between 3-4 drift fence,3D diff,77,5.3,381,322728,5434828,. C008050702,"Shrub-steppe, Sagebrush","Sunny, Warm",50,,,,Pink rose bag,,4.4,298,103,195,Female,Adult,Yes,"Fuchsia, Daisy cream, Lt blue",,One egg possibly,5/8/2008,13:00,LG,1,At capture location,"Coiled, Under sage brush",Sep-08,Capt,,,,,
452E4B5B32,5/7/2008,15:28,"LG, TR
",Rattlesnake,,Sight,No,East of Lenny's trailor,3D diff,64,4.7,290,321444,5435187, CO08050704,Shrub-steppe,"Sunny, Warm",50,,,,Plaide,,5.5,355,76,279,Male,Adult,NA,"Fuchsia, Deep aqua, Car pink",,Going to become a transmitter snake,5/9/2008,17:00,LG,2,"Close to cap location, better cover","On the move, in open",Aug-08,Capt,,,,,
486026452C,5/7/2008,17:01,"LG, TR",Rattlesnake,,Sight,No,In 4th drift fence,3D diff,34,2.2,382,322725,5434818, c008050703,Shrub-steppe,"Sunny, Warm",50,,,,Pink flower and stripes,61.3,5.4,301,124,177,Male,Adult,NA,"Gold, Red, Tango blue",,,5/8/2008,12:30,LG,1,"Close to cap location, better cover",Stretched out,2008-010,Capt,,,,,
