PIT Tag #,Date,Time,Researcher,Spp,Encounter,Detection,Recap,Location,Mode,Avg Count,Error,Elevatlon,Easting,Northing,Waypoint,Habitat,Weather,Cloud cover,Ta,Tg,Comments,Pillow case,SVL,VTL,S + B,Bag,Mass,Sex,Age class,Gravid,Rattle paint,Photo #,Comments,Rel date,Rel time,Rel researcher,Days in captivity,Rel locatlon,Behaviour,Record #,Type,Distance to buildings,Distance to road,Direction to building,Direction to road
,26/03/2011,11:46:00 AM,,,,,,,,,,,32,543,,,,,,,,,,,,,,,,,,,,,,,,,,-2010,,,,,
4A4F0B712C,16/04/2010,11:48:00 AM,"OMM, ARB",Rattlesnake,,Sight,No,Village riparian,3D diff,20,2.9,341,321949,5435594,CO001,"Shrub-steppe, Sagebrush","Sunny, light wind, light overcast",08/09/11,21,28.6,,19,,3.2,253,107,146,Female,Adult,No,"Orange, Red, Pt purple",YES,,16/04/2010,02:22:00 PM,"OMM, ARB",,At capture location,On the move,2010-001,Capt,50,50,S,S
4A4E3F5C43 Memphis,20/04/2010,01:28:00 PM,"OMM, ARB",Rattlesnake,,Sight,No,Den 6,3D diff,111,3.9,544,322939,5435289,CO002,"Rock slide, rock","Sunny, Warm, breezey",05/09/11,29.8,29.8,"To be used for telemetry, 'Memphis'","Pink, blue and green",,5.1,288,75,213,Male,Adult,NA,Tango blue,,,06/05/10,04:11:00 PM,"EVL, ARB",16,At capture location,Basking,2010-002,Capt,50,50,W,W
4A25471B49 Denver,20/04/2010,01:49:00 PM,"OMM, ARB",Rattlesnake,,Sight,No,Den06,3D diff,25,4.8,533,322942,5435281,CO003,"Rock slide, rock","Sunny, Warm, Windy, overcast",05/09/11,29.2,32.9,"To be used for telemetry, 'Denver'",7,,6.5,425,113,312,Male,Adult,NA,Tango blue,YES,,06/05/10,04:11:00 PM,"EVL, ARB",16,At capture location,Basking,2010-003,Capt,50,50,W,W
4A4F5F6E18 Indiana,22/04/2010,11:44:00 AM,"OMM, ARB",Rattlesnake,,Sight,No,Den06,3D diff,10,3.4,555,322971,5435270,CO004,"Rock slide, rock","Sunny, Warm, Windy",01/09/11,22.5,27,"To be used for telemetry, 'Indiana'",9,,5.2,363,105,258,Male,Adult,NA,Tango blue,NO,,07/05/10,10:00:00 AM,"EVL, ARB",15,At capture location,"On rock, Basking",2010-004,Capt,50,50,W,W
445C745512,23/04/2010,10:30:00 AM,"ARB, , JH",Rattlesnake,,Sight,No,"Campground north end, next to fence",3D diff,10,3,307,321344,5435390,CO005,"Shrub-steppe, fallen fence post",Sunny,01/09/11,21.3,18.9,,20,,4.9,355,111,244,Male,Adult,,"Fuchsia, ,  aqua green, royal blue",YES,,23/04/2010,02:30:00 PM,"ARB, JH",,,Coiled,2010-005,Capt,50,50,S,S
433E525C64,23/04/2010,11:44:00 AM,"ARB, JH",Rattlesnake,,Sight,No,"Coverboards, next to fence",3D diff,106,3.6,300,321728,5434693,CO006,"Shrub-steppe, coverboard","Sunny, Warm",01/09/11,21.8,23.1,,Green 29,,5.8,345,77,268,Male,Adult,NA,"Tango blue, Fiesta yellow",YES,,23/04/2010,02:12:00 PM,"ARB, JH",,,"Coiled, Under coverboard",2010-006,Capt,10/01/50,10/01/50,W,W
4A4F467021 Montana,28/04/2010,02:39:00 PM,"JH, ARB",Rattlesnake,,Sight,No,above Den06 satellite den,3D diff,10,3.7,550,322934,5435296,CO007,"Rock slide, rock","Sunny, Warm, Windy, Cloudy",07/09/11,22,22.4,"To be used for telemetry, montana",Blue and white 27,,6.8,883,122,761,Male,Adult,NA,Solid royal blue,NO,,06/05/10,04:00:00 PM,"EVL, EVL",8,At capture location,"partly Under rock, Looped",2010-007,Capt,50,50,W,W
471D417308,30/04/2010,11:25:00 AM,EVL ARB,Rattlesnake,,Sound,No,Village,3D diff,56,3.7,342,322001,5435353,CO008,"Village, Grass.","Cloudy, Warm, Breezy",07/09/11,26.6,25.4,,34,,4.7,268,116,152,Male,Adult,NA,"Citrus green,  aqua green, Red",YES,Repainted tail,03/05/10,10:52:00 AM,ARB,3,At capture location,Coiled,2010-008,Capt,10/01/50,50,N,W
430F4A761F,30/04/2010,02:34:00 PM,"ARB, EVM",Rattlesnake,,Sight,No,Plateau up from CG office,3D diff,60,3.4,299,321614,5434773,CO009,"Shrub-steppe, Antelope brush","Sunny, Windy, Warm, Cloudy",04/09/11,22.8,24.4,,23,,4.3,330,105,225,Female,Adult,No,"Daisy cream,  aqua green, Red",YES,"Rattle is actually Red, Black",03/05/10,12:45:00 PM,"EVL, ARB,",3,Across fence from capture location,"Coiled, Under antelope brush",2010-009,Capt,50,50,S,W
471D417308,04/05/10,11:29:00 AM,Barb,Rattlesnake,,Sight,Yes,Village,3D diff,,,,322,543,CO010,Village,,,,,,,,,,,,Male,,NA,"Citrus green,  aqua green, Red",,,06/05/10,02:17:00 PM,"EVL, ARB",2,Village riparian,,2010-010,2010recap,10/01/50,50,W,S
43103F5053 Oka,06/05/10,02:37:00 PM,"ARB, EVL",Rattlesnake,,Sound,Yes,"Below  Den06, 100m up slope",3D diff,221,5,399,322594,5435284,CO011,"Shrub-steppe, Sagebrush","Warm, breeze, Cloudy, Thin Cirrus overcast",07/09/11,26.4,25.3,Used for telemetry named 'Oka',4,,6.8,376,100,276,Male,Adult,NA,Tango blue,,"""Oka"" to be used in telemetry (replacement)",14/05/2010,11:24:00 AM,"EVL, ARB",8,At capture location,"Stretched out, Under sage brush",2010-011,Capt,50,50,W,W
456A29484F Boston,07/05/10,11:27:00 AM,EVL ARB,Rattlesnake,,Sight,No,Gully north of golf course,3D diff,37,3.7,364,322510,5435126,CO012,"Shrub-steppe, sage","Sunny, Warm, breezy",03/09/11,21.3,20.5,,24,,5.4,311,94,217,Male,Adult,NA,"Citrus green, Fiesta yellow, Royal blue",,"To be used for telemetry, 'Boston'",14/05/2010,11:15:00 AM,"EVL, ARB",7,At capture location,On the move,2010-012,Capt,50,50,W,W
4578502655,12/05/10,04:11:00 PM,"ARB, JH",Rattlesnake,,Sight,,First Bridge,3D diff,77,4,327,322157,5435038,CO013,"Shrub-steppe, Antelope brush and grass",Warm,03/09/11,23.9,22.8,2 feet away trom first bridge,36,,6.3,469,75,394,Male,Adult,NA,"., Tango blue, Tango blue, Fiesta yellow",,"""Tipi""",12/05/10,05:11:00 PM,"ARB, EVL",,At capture location,On the move,2010-013,Capt,10/01/50,50,S,S
