PIT_Tag_#,Date,Year,Month,Time,SPECIES,Researcher,Encounter,Detection,Recap,Location,Area,Treatment,Mode,Avg_Count,Error,Elevatlon,Easting,Northing,Waypoint,Habitat,Weather,Cloud_cover,Ta,Tg,Comments,Pillow_case,SVL,VTL,S_+_B,Bag,Mass,Sex,Age_class,Gravid,Rattle_paint,Photo_#,Comments,Rel_date,Rel_time,Rel_researcher,Days_in_captivity,Rel_locatlon,Rel_Easting,Rel_Northing,Behaviour,Record_#,Type,Hibernation Site,Distance_to_buildings,Distance_to_road,Direction_to_building,Direction_to_road,New Rattles
4C132B3D65,23/4/2013,2013,April,,Rattlesnake,"LEG, OMM, JXS",Capt,Sight,Yes,Den6,,,3D,,,,322915,5435310,,,,,,,,,94.0,6.5,,,606,Male,Adult,NA,,,,26/4/2013,,"LEG, JXS",4,Den6,322933,5435286,Basking,,,Den6,,,,,
0A1367755F,23/4/2013,2013,April,,Rattlesnake,"LEG, OMM, JXS",Capt,Sight,No,Den6,,,3D,,,,322915,5435310,,,,,,,,,72.0,5.0,,,316,Male,Adult,NA,,,,26/4/2013,,"LEG, JXS",4,Den6,322933,5435286,Basking,,,Den6,,,,,
0A13677627,26/4/2013,2013,April,,Rattlesnake,"LEG, JXS",Capt,Sight,No,Den6,,,3D,,,,322938,5435293,,rock pile,overcast,9/9,21.0,,,28,71.5,5.7,383,109,274,Male,Adult,NA,,"102-1475, 102-1476",,6/5/2013,11:12,"LEG, JXS",10,Den6,322933,5435286,Basking,,,Den6,,,,,
4C13295841,26/4/2013,2013,April,,Rattlesnake,"LEG, JXS",Capt,Sight,Yes,Den6,,,3D,,,,322938,5435293,,rock pile,overcast,9/9,21.0,,,44,66.5,5.4,281,104,177,Male,Adult,NA,,,,6/5/2013,11:12,"LEG, JXS",10,Den6,322933,5435286,Basking,,,Den6,,,,,
4C13364B6C,29/4/2013,2013,April,12:12,Gophersnake,JXH,Capt,,Yes,Front water stream by Nk'Mip Desert Cultural Centre,,,3D,,,,322129,5434897,,,,,,,Kept in captivity at Nk'Mip Desert Cultural Centre,,94.5,16.8,409,82,327,Male,Adult,NA,,,,,,,,,,,,,,,,,,,
0A13677626,30/4/2013,2013,April,,Rattlesnake,"LEG, JXS, AJP",Capt,Sight,No,Den6,,,3D,,,,322938,5435293,,rock pile,,,,,,,,3.3,208,113,95,Female,Adult,,,133-8656,,1/5/2013,,"LEG, JXS, AJP",1,Den6,322933,5435286,Basking,,,Den6,,,,,
0A1367755E,1/5/2013,2013,May,,Rattlesnake,"LEG, JXS, AJP",Capt,Sight,No,Den6,,,3D,,,,322938,5435293,,rock pile,,,,,,,66.9,4.8,259,102,157,Male,Adult,NA,,134-8674,,2/5/2013,,"LEG, JXS, AJP",1,Den6,322933,5435286,Basking,,,Den6,,,,,
0A13677615,2/5/2013,2013,May,,Rattlesnake,"LEG, JXS, AJP",Capt,Sight,No,Den6,,,3D,,,,322938,5435293,,rock pile,sunny,0/9,21.0,18.0,,,63.1,4.8,273,119,154,Male,Adult,NA,,134-8675,,6/5/2013,11:12,"LEG, JXS",4,Den6,322933,5435286,Coiled/Basking,,,Den6,,,,,
0A1367762C,2/5/2013,2013,May,11:30,Rattlesnake,Campground staff,Capt,,No,Campground Site 195,,,3D,,,280,321262,5435312,,,,,,,Site 195 - Casey Kidd caught it,,67.5,5.8,268,104,164,Male,Adult,NA,,134-8678,,3/5/2013,13:00,"LEG, JXS, OMM",1,Riparian,,,,,,,,,,,
4C1B3D1B45,6/5/2013,2013,May,11:00,Rattlesnake,BS,Capt,Sight,Yes,"Construction site, near snake fence",,,,,,,,,,,sunny,0/9,,,,none,59.7,5.0,230,102,128,Male,Adult,NA,"4th rattle is petunia purple, 5th rattle is daisy cream",134-8709,,8/5/2013,10:05,"JXS, AJP",2,Gully by Den6,322610,5435135,,,,,,,,,3
0A1367762C,6/5/2013,2013,May,11:35,Rattlesnake,Campground staff,Capt,Sight,Yes,Campground Site 25,,,3D,,,280,321538,5434640,,,sunny,0/9,,,,33,68.3,5.4,248,85,163,Male,Adult,NA,none,134-8706,,8/5/2013,9:35,"JXS, AJP",2,Riparian,321817,5435713,,,,,,,,,
0A13677549,6/5/2013,2013,May,11:00,Rattlesnake,JXH,Capt,Sight,No,"Spirit Ridge Lavender Building #3, found in dry river bed",,,,,,,,,,dry river bed,sunny,0/9,,,Found eating a mouse. Fully consumed the mouse when in captivity.,15,58.7,3.4,310,90,220,Female,Adult,,none,134-8743,,9/5/2013,9:41,"LEG, JXS, AJP",3,Gully by Den6,322550,5435127,Eating,,,,10-50,10-50,,,
4C13335A29,7/5/2013,2013,May,10:30,Rattlesnake,Construction workers,Capt,Sight,Yes,Development site 3,,,,,,,,,,development site,sunny,0/9,,,,none,57.8,3.2,207,119,88,Female,Sub-adult,NA,blue bell paint on 3rd and 4th buttons,134-8742,,9/5/2013,9:41,"LEG, JXS, AJP",2,Gully by Den6,322550,5435127,unknown,,,,<10,<10,,,2
4A67082D7D,7/5/2013,2013,May,10:30,Gophersnake,Construction workers,Capt,Sight,Yes,Development site 3,,,,,,,,,,development site,sunny,0/9,,,,28,80.5,15.6,289,108,171,Female,Adult,,,,,9/5/2013,9:41,"LEG, JXS, AJP",2,Gully by Den6,322550,5435127,,,,,<10,<10,,,
