PIT_TAG_#,DATE,TIME,RESEARCHER,RECAPTURE,SPECIES,WEATHER,CLOUD_COVE,WIND,AIR_TEMP,GROUND_TEM,BEHAVIOUR,MACRO_HABI,MICRO_HABI,LOCATION,EASTING,NORTHING,DEN_SITE,COMMENTS,PILLOW_CAS,SVL,VTL,S+B,BAG,MASS,SEX,AGE_CLASS,GRAVID,PHOTO_#,REL_DATE,REL_TIME,REL_RESEAR,REL_LOCATI,DAYS_IN_CA
0a180d5f38,4/26/2014,14:21:24,JRM & JMM,FALSE,N. P. RATTLESNAKE,SUNNY/CLOU,6/9,NO WIND,17.3,20.6,BASKING,ROCK PILE/SLIDE,under rocks ,den 6,322936,5435294,6,MASON,28,70.50,6.50,411.00,109.00,302.00,MALE,ADULT,FALSE,110-3260,april 30 2014,1200,JMM & JRM,den 6,4
0a13677621,4/28/2014,15:50:10,JRM & JMM,FALSE,N. P. RATTLESNAKE,SUNNY,1/9,BREEZE,26.7,25.5,RATTLING,GOLF COURSE,antelope brush,north of 2nd g,322327,5434936,?,subadult*,26,57.30,3.50,216.00,97.00,119.00,FEMALE,ADULT,FALSE,110-3278/3280,April 30 2014,9:56,JMM & JRM,golf course near green 2,2
4c13342c7c,4/28/2014,10:11:20,JRM & JMM,TRUE,N. P. RATTLESNAKE,SUNNY,1/9,BREEZE,26.7,25.5,COILED,GOLF COURSE,shrub steppe ,tee7,322677,5435065,?,ando,,70.80,5.90,362.00,92.00,270.00,MALE,ADULT,FALSE,110-3274,april 30 2014,10:14,JMM & JRM,gc tee7,2
4c165e5674,4/30/2014,11:10:25,JRM & JMM,TRUE,N. P. RATTLESNAKE,SUNNY,0/9,NO WIND,26.1,22.3,BASKING,ROCK PILE/SLIDE,on rock,near den 6,322934,5435268,6,canation pink tan blue gold,,62.90,5.20,295.00,80.00,215.00,MALE,ADULT,FALSE,110-3282,april 30,12:45,JMM & JRM,near den 6,0
0a180d5f54,4/30/2014,11:14:15,JRM & JMM,FALSE,N. P. RATTLESNAKE,SUNNY,0/9,NO WIND,26.1,22.3,BASKING,ROCK PILE/SLIDE,rockslide,near den 6,322930,5435269,6,,8,57.50,4.80,242.00,90.00,152.00,MALE,SUB-ADULT,FALSE,110-3281,april 30 2014,1245,JMM & JRM,near den 6,0
484e094c24,4/26/2014,11:39:01,JRM & JMM,TRUE,N. P. RATTLESNAKE,SUNNY,0/9,NO WIND,17.3,20.6,BASKING,ROCK PILE/SLIDE,between rocks,den 6,322931,5435286,6,Richer,36,66.60,5.70,287.00,72.00,215.00,MALE,ADULT,FALSE,110-3270/3272,april 30 2014,1200,JMM & JRM,same as capture,4
445e1b2963,4/26/2014,11:39:43,JRM & JMM,TRUE,N. P. RATTLESNAKE,SUNNY,0/9,NO WIND,17.3,20.6,BASKING,ROCK PILE/SLIDE,on rocks,near den 6,322932,5435285,6,R2D2- 1 New rattle,40,68.50,5.50,360.00,120.00,240.00,MALE,ADULT,FALSE,110-3261,april 30 2014,1200,JMM & JRM,same as capture,4
4c1e795f73,4/26/2014,14:21:07,JRM & JMM,TRUE,N. P. RATTLESNAKE,SUNNY/CLOU,6/9,NO WIND,17.3,20.6,BASKING,ROCK PILE/SLIDE,under rocks ,den 6,322933,5435285,6,LINDEN,,76.00,6.30,437.00,103.00,334.00,MALE,ADULT,FALSE,110-3266/67,april 30 2014,1200,JMM & JRM,same as capture,4
4c1a356023,4/30/2014,12:28:42,JRM & JMM,TRUE,N. P. RATTLESNAKE,SUNNY,0/9,NO WIND,25.0,37.8,COILED,ROCK PILE/SLIDE,under rock at d,den 6,322935,5435287,den 6,Chewbacca,43,75.50,5.50,398.00,84.00,314.00,MALE,ADULT,FALSE,110-3283,may 6 2014,10:09,JMM & JRM,same as capture,6
0a1367760f,5/1/2014,13:38:52,JRM & JMM,TRUE,N. P. RATTLESNAKE,SUNNY/CLOU,7/9,NO WIND,23.6,27.0,COILED,ROCK PILE/SLIDE,under rock,NE landfill,314077,5444920,,near oliver landfill  - hiro,33,94.30,7.40,738.00,84.00,654.00,MALE,ADULT,FALSE,110-3286,,,,,0
4a1d202a41,4/25/2014,15:06:16,JRM & JMM,TRUE,N. P. RATTLESNAKE,CLOUDY,7/9,BREEZE,16.3,22.0,COILED,ROCK PILE/SLIDE,sandy patch bes,above dev site,323016,5434817,?,Suresh,44,68.40,5.40,347.00,100.00,247.00,MALE,ADULT,FALSE,110-3273,april 30 2014,13:11,JMM & JRM,same as capture,5
0A180D5F4A,5/2/2014,11:40:04,OTHER,FALSE,GOPHER SNAKE,SUNNY,1/9,NO WIND,0.0,0.0,,RESIDENTIAL/COMME,,s of center,322000,5434886,,,28,74.90,12.70,380.00,109.00,271.00,FEMALE,ADULT,FALSE,110-3293,capture date,3pm,OTHER,near capture,0
0A180D5F2E,5/2/2014,14:51:11,OTHER,FALSE,GOPHER SNAKE,SUNNY,,,0.0,0.0,,SHRUB STEPPE,NR PIT HOUSE,PIT HOUSE,321982,5435358,,,11,62.90,12.50,203.00,103.00,103.00,MALE,ADULT,FALSE,110 3284,MAY 1,,OTHER,CAP LOCATION,0
sighting,5/5/2014,12:15:44,JRM & JMM,FALSE,GOPHER SNAKE,CLOUDY,8/9,NO WIND,22.0,22.6,COILED,SHRUB STEPPE,under sage brus,30m n of 6 fai,322585,5435081,n/a,sighting. no capture,,0.00,0.00,0.00,0.00,0.00,,SUB-ADULT,FALSE,,,,,,0
4c133b4834,5/6/2014,13:30:57,JRM & JMM,TRUE,N. P. RATTLESNAKE,SUNNY/CLOU,4/9,NO WIND,23.1,22.0,,SHRUB STEPPE,sweat lodge,near trail,321976,5435363,?,2 new rattles. behaviour unkno,40,54.60,4.10,259.00,121.00,138.00,MALE,SUB-ADULT,FALSE,110-3294,may 6 2014,2:30 pm,JMM & JRM,same as capture,0
0a13654b68,5/7/2014,13:03:20,JRM & JMM,TRUE,GOPHER SNAKE,SUNNY,2/9,BREEZE,20.7,23.3,BASKING,ORCHARD/FARM,beside tree and,road to devsit,322299,5434464,?,,,88.80,15.40,358.00,100.00,258.00,MALE,ADULT,FALSE,110-3304,May 8,8:46,JMM & JRM,100m up roadfrom capture,1
4860001474,5/7/2014,13:39:38,JRM & JMM,TRUE,GOPHER SNAKE,SUNNY,2/9,BREEZE,22.6,21.1,BASKING,GOLF COURSE,on rocks beside,tee 9,322555,5434545,?,,36,93.30,15.30,456.00,72.00,384.00,MALE,ADULT,FALSE,110-3305,May 7,4:00,JMM & JRM,same as capture,0
0a180d5f33,5/8/2014,09:46:06,JRM & JMM,FALSE,GOPHER SNAKE,SUNNY/CLOU,6/9,NO WIND,17.6,18.8,COILED,CONSTRUCTION SITE,under coverboard,dev site fence,322742,5434844,,coiled with another gopher,,94.00,16.00,403.00,94.00,309.00,MALE,ADULT,FALSE,110-3309,may 8 2014,4:43,JMM & JRM,20m upslope,0
0a180d5f56,5/8/2014,09:51:01,JRM & JMM,FALSE,GOPHER SNAKE,SUNNY/CLOU,6/9,NO WIND,17.6,18.8,COILED,CONSTRUCTION SITE,under coverboard,dev site fence,322741,5434841,,with another gopher,14,92.80,13.90,381.00,83.00,298.00,FEMALE,ADULT,FALSE,110-3314,may 8 2014,4:44,JMM & JRM,20m upslope,0
4a60292d31,5/8/2014,10:05:56,JRM & JMM,TRUE,N. P. RATTLESNAKE,SUNNY/CLOU,6/9,NO WIND,19.4,19.4,MOVING,CONSTRUCTION SITE,along fence,dev site,322608,5434903,,N side of dev site,26,59.80,4.00,325.00,98.00,227.00,FEMALE,SUB-ADULT,FALSE,110-3313,may 8 2014,4:40,JMM & JRM,20m upslope,0
45505d7573,5/11/2014,09:23:49,JRM & JMM,TRUE,N. P. RATTLESNAKE,SUNNY,2/9,BREEZE,0.0,0.0,MOVING,SHRUB STEPPE,open grass,snakefence cmp,321459,5435093,,MARKUS,8,63.90,5.00,364.00,91.00,273.00,MALE,ADULT,FALSE,110-3318,MAY 13 2014,9:35 am,JMM & JRM,200m upslope,2
0a180d5f79,5/12/2014,09:26:10,JRM & JMM,FALSE,GOPHER SNAKE,SUNNY,1/9,NO WIND,20.3,19.6,COILED,CONSTRUCTION SITE,under snake fence fold,dev site fence,322744,5434825,,with another gopher snake- sca,43,75.60,13.40,200.00,84.00,116.00,MALE,SUB-ADULT,FALSE,110-3320,may 12 2014,4:50,JMM & JRM,30m upslope,0
0a180d5f71,5/12/2014,09:31:29,JRM & JMM,FALSE,GOPHER SNAKE,SUNNY,1/9,NO WIND,20.0,19.6,COILED,CONSTRUCTION SITE,under fence fold,dev site fence,322745,5434826,,with anither gopher snake,36,78.40,11.50,268.00,72.00,196.00,FEMALE,ADULT,FALSE,110-3321,may 12 2014,4:50,JMM & JRM,30n upslope,0
4a60292d31,5/12/2014,09:58:25,JRM & JMM,TRUE,N. P. RATTLESNAKE,SUNNY,1/9,NO WIND,22.8,21.6,MOVING,CONSTRUCTION SITE,against snake fence,N end dev site,322647,5434860,,captured may 8 approx 50 m up,,0.00,0.00,0.00,0.00,0.00,FEMALE,SUB-ADULT,FALSE,,may 12,same as capture,JMM & JRM,same as capture,0
4a4d791d00,5/12/2014,10:11:26,JRM & JMM,TRUE,N. P. RATTLESNAKE,SUNNY,1/9,NO WIND,23.3,22.3,MOVING,CONSTRUCTION SITE,along outside of fence,N end dev ste,322652,5434865,,,,56.20,3.40,250.00,138.00,112.00,FEMALE,SUB-ADULT,FALSE,110-3324,may 12 2014,4:45,JMM & JRM,20m upslope,0
0a180d5f55,5/12/2014,10:32:17,JRM & JMM,TRUE,N. P. RATTLESNAKE,SUNNY,1/9,NO WIND,22.8,23.0,BASKING,GOLF COURSE,under grass,8th fairway,322588,5434786,,between 7 fairway and dev site,,57.50,4.80,269.00,103.00,166.00,MALE,ADULT,FALSE,110-3322,may 12 2014,4:45,JMM & JRM,30m upslope,0
0a13677579,5/12/2014,14:51:10,JRM & JMM,TRUE,N. P. RATTLESNAKE,SUNNY,1/9,BREEZE,28.9,29.8,COILED,PINE STAND,rock pile under,50m n of trail,322282,5435375,,between interpretive trail and,44,65.60,5.20,320.00,101.00,219.00,MALE,ADULT,FALSE,110-3325/32,may 17,8:36,JMM & JRM,near capture.,5
0a180d600e,5/12/2014,14:00:21,JRM & JMM,FALSE,GOPHER SNAKE,SUNNY,1/9,BREEZE,24.6,26.1,MOVING,SHRUB STEPPE,open grass,N of GC #6,322330,5435035,,,28,87.10,15.20,335.00,109.00,226.00,MALE,ADULT,FALSE,110-3336,may 12 2014,4:17,JMM & JRM,same as capture,0
4462123422,5/9/2014,11:00:21,JRM & JMM,TRUE,N. P. RATTLESNAKE,,,,0.0,0.0,,CAMP GROUND,,,321456,5434452,,4 new rattles,40,57.20,3.70,323.00,122.00,201.00,FEMALE,SUB-ADULT,FALSE,110-3316,,,,,0
sighting,5/13/2014,12:17:41,JRM & JMM,FALSE,N. P. RATTLESNAKE,CLOUDY,8/9,BREEZE,24.3,26.3,MOVING,ROCK PILE/SLIDE,on open soil,above dev site,323028,5434838,,sighted - not captured,,0.00,0.00,0.00,0.00,0.00,,ADULT,FALSE,,,,,,0
0a180d5f75,5/12/2014,07:42:56,OTHER,FALSE,GOPHER SNAKE,,,,0.0,0.0,,,,,322138,5434963,,grassy area of gallery,99,65.00,10.20,218.00,118.00,100.00,FEMALE,SUB-ADULT,FALSE,110-3339,may 13,2:46,JMM & JRM,other side of snake fence,1
0a180d6002,5/13/2014,19:19:23,JRM & JMM,FALSE,GOPHER SNAKE,SUNNY/CLOU,8/9,NO WIND,22.3,22.3,BASKING,OTHER,road surface,dev road,322403,5434455,,basking in the  middle of road,50,63.80,11.40,198.00,93.00,105.00,MALE,ADULT,FALSE,110-3350,may 14,10:01,JMM & JRM,20 m north of road,0
4a681d7323,5/13/2014,20:02:01,JRM & JMM,TRUE,N. P. RATTLESNAKE,CLOUDY,8/9,NO WIND,22.3,22.8,MOVING,CONSTRUCTION SITE,near sagebrush,snake fence,322635,5434848,,west end dev site outsde of fe,26,51.40,3.10,193.00,99.00,94.00,FEMALE,ADULT,FALSE,none,may 14,10:41,JMM & JRM,same as capture,0
0a180d600a,5/13/2014,20:24:32,JRM & JMM,FALSE,GOPHER SNAKE,CLOUDY,7/9,NO WIND,21.5,22.3,COILED,CONSTRUCTION SITE,under cover board,dev snake fenc,322759,5434751,,under coverboard along snake f,33,74.00,13.40,206.00,84.00,122.00,MALE,ADULT,FALSE,110-3348,may 14,10:57,JMM & JRM,50 m north of capture,0
0a180d5f67,5/14/2014,11:36:31,JRM & JMM,FALSE,N. P. RATTLESNAKE,SUNNY/CLOU,3/9,NO WIND,25.7,25.3,MOVING,CONSTRUCTION SITE,beside boulder,dev road,322616,5434537,,at gate between green 8 and de,28,64.10,4.30,333.00,109.00,224.00,FEMALE,ADULT,FALSE,110-3351,may 16,1:00,JMM & JRM,50 m downslope ofcapture,2
sighting,5/14/2014,13:32:24,JRM & JMM,FALSE,GOPHER SNAKE,SUNNY,2/9,BREEZE,29.3,27.1,MOVING,GOLF COURSE,under antelope brush,GC btwn 3 &5,322369,5434810,,found near ANDO,,0.00,0.00,0.00,0.00,0.00,,,FALSE,,,,,,0
