PIT TAG,DATE,Time,RESEARCHER,RECAPTURE,SPECIES,WEATHER,CLOUD COVE,WIND,AIR TEMP,GROUND TEM,DETECTION,BEHAVIOUR,MACRO HABI,MICRO HABI,LOCATION,Easting,Northing,DEN SITE,COMMENS,PILLOW CAS,SVL,S+B,BAG,MASS,SEX,AGE CLASS,BLOOD SAMP,SCALE CLIP,SCUTE MARK,GRAVID,DIST BUILD,DIST RD,DIR BUILD,DIR RD,REL DATE,REL TIME,REL RESEAR,REL LOCA,DAYS IN CA
4a1d202a41,4/8/2015,13:04:44,JRM/SAW,TRUE,NP RATTLESNAKE,SUNNY,9-Feb,BREEZE,16.6,17.9,SIGHT,BASKING,ROCK PILE/SLIDE,on top of rocls,Dev Den,323047.5099,5434839.329,Dev Den,SURESH,8,77.1,331,89,242,MALE,ADULT,FALSE,FALSE,,N/A,>100,>100,W,W,,,,,
4c3c411b3b,4/8/2015,14:40:32,JRM/SAW,FALSE,NP RATTLESNAKE,SUNNY,9-Feb,BREEZE,16.3,17.8,SOUND,BASKING,ROCK PILE/SLIDE,in rocks,downslope new den,323215.0808,5434774.111,new den site,FRASER,23,76.5,294,99,195,MALE,ADULT,FALSE,FALSE,,N/A,>100,>100,W,W,,,,,
4c3d3d2508,4/8/2015,15:00:01,JRM/SAW,FALSE,NP RATTLESNAKE,SUNNY,9-Mar,NO WIND,15.5,17,SIGHT,BASKING,ROCK PILE/SLIDE,on rocks,Dev Den,323047.5099,5434839.329,Dev Den,,26,71.5,259,98,161,FEMALE,ADULT,FALSE,FALSE,,NO,>100,>100,W,W,4/9/2015,11:43,JRM/SAW,Same as cap,1
4a1d150449,4/12/2015,14:25:11,JRM/SAW,TRUE,NP RATTLESNAKE,SUNNY/CLOUDY,9-Jul,BREEZE,17.9,18.5,SIGHT,COILED,ROCK PILE/SLIDE,under rock overhang,20m downslope den 6,322935,5435256,Den 6,,77,57.5,263,81,182,FEMALE,ADULT,FALSE,FALSE,,NO,>100,>100,SW,SW,4/13/2015,12:39,JRM/SAW,same as cap,1
0a13677609,4/12/2015,15:00:00,JRM/SAW,TRUE,NP RATTLESNAKE,SUNNY/CLOUDY,9-Jul,BREEZE,22.1,21.6,SIGHT,BASKING,ROCK PILE/SLIDE,on top of rock,Den 6,322932,5435283,Den 6,,ps I love you,63.5,355,103,252,FEMALE,ADULT,FALSE,FALSE,,OVE DETECTED,>100,>100,SW,SW,4/13/2015,12:37,JRM/SAW,same as cap,1
4c3d3c4566,4/12/2015,15:03:11,JRM/SAW,FALSE,NP RATTLESNAKE,SUNNY/CLOUDY,9-Jul,BREEZE,22.1,21.6,SIGHT,BASKING,ROCK PILE/SLIDE,on top of rocks,Den 6,322923,5435283,Den 6,,43,44.9,153,83,70,FEMALE,JUVENILE,FALSE,FALSE,,Non-gravid,>100,>100,SW,SW,4/13/2015,12:40,JRM/SAW,same as cap,1
4c3c072c42,4/13/2015,13:25:43,JRM/SAW,FALSE,NP RATTLESNAKE,CLOUDY,9-Aug,BREEZE,16.5,17.7,SIGHT,COILED,GOLF COURSE,open ground near rock overhang,7th tee shedding site,322673,5435063,,,99,56.6,305,117,188,FEMALE,ADULT,FALSE,FALSE,,NO,>100,>100,S ,S ,4/13/2015,13:50,JRM/SAW,same as cap,0
4c3c077c33 ,4/14/2015,13:28:06,JRM/JH,FALSE,NP RATTLESNAKE,SUNNY,9-Feb,BREEZE,19,19.4,SIGHT,BASKING,ROCK PILE/SLIDE,uneder rock overhang,new den,323224,5434773,new den site,,7,52.3,265,115,150,MALE,ADULT,FALSE,FALSE,,N/A,>100,>100,W,W,4/14/2015,13:48,JRM/JH,same as cap,0
4c3c072c55,4/14/2015,14:42:44,JRM/JH,FALSE,NP RATTLESNAKE,SUNNY,9-Feb,NO WIND,21.8,22.1,SIGHT,BASKING,ROCK PILE/SLIDE,in crack of rock,dev den,323047.5099,5434839.329,dev den,,14,59.1,292,82,210,FEMALE,ADULT,FALSE,FALSE,,Non-gravid,>100,>100,W,W,4/14/2015,15:03,JRM/JH,same as cap,0
4c3d633547,4/15/2015,14:47:20,JRM/SAW,FALSE,NP RATTLESNAKE,SUNNY,0/9,BREEZE,16.3,18,SIGHT,BASKING,ROCK PILE/SLIDE,bare ground btwn rocks,dev den,323044.3922,5434838.529,dev den, ,99,57.3,243,115,138,FEMALE,ADULT,FALSE,FALSE,n/a,NO,>100,>100,W,W,4/15/2015,15:25,JRM/SAW,same as capture,0
4c3c57125a,4/17/2015,13:00:32,JRM/SAW,FALSE,NP RATTLESNAKE,SUNNY/CLOUDY,9-Jan,BREEZE,23.9,23.5,SIGHT,BASKING,ROCK PILE/SLIDE,open rocks,den 26,320931.3648,5437185.455,den 26,Thompson,36,72.7,317,72,245,MALE,ADULT,FALSE,FALSE, ,N/A,>100,>100,SW,SW,4/23/2015,10:29,JRM/SAW,same as cap den 26,6
4c3b660c6c,4/17/2015,14:06:34,JRM/SAW,FALSE,NP RATTLESNAKE,SUNNY/CLOUDY,9-Apr,BREEZE,22.5,25,SIGHT,BASKING,ROCK PILE/SLIDE,on open rocks,den 27,320852.9584,5437479.226,den 27,bow,44,74,377,100,277,MALE,ADULT,FALSE,FALSE, ,N/A,>100,>100,NW,NW,4/23/2015,10:52,JRM/SAW,same as cap den 27,6
4c133c2077,4/17/2015,14:09:07,JRM/SAW,TRUE,NP RATTLESNAKE,SUNNY/CLOUDY,9-Apr,BREEZE,0,0,SIGHT,BASKING,ROCK PILE/SLIDE,open rocks,den 27,320851.9736,5437483.137,den 27, ,ab,86,728,102,626,MALE,ADULT,FALSE,TRUE,vl3r5l7,N/A,>100,>100,NW,NW,4/23/2015,10:52,JRM/SAW,same as cap,6
