PIT TAG,DATE,Time,RESEARCHER,RECAP,SPECIES,WEATHER,CLOUD COV,AIR TEMP,GROUND TEM,DET,BEHAVIOUR,MACRO HAB,MICRO HAB,LOCATION,Easting,Northing,SITE,DEN,PILLOW,SVL,S+B,BAG,MASS,SEX,AGE CLASS,REPRO,BLOOD 1,BLOOD 1 TI,BLOOD 2,BLOOD 2 TI,SCALE,DIST BUI,DIST RD,DIR BUI,DIR RD,RELOC,REL TIME,REL DAY,REL LOC,DAY CAP,COMMENTS
4c132e3b53,4/6/2016,12:30,JRM/JH,TRUE,RATTLESNAKE,SUNNY,2,18.8,17.6,SIGHT,BASKING,TALUS,on rocks,Den 6,322933,5435288,SOUTH,DEN 6,14,71.5,487,75,406,MALE,ADULT,N/A,,,,,,>100,>100,S,S,FALSE,12:41,same as cap,Den 6,0,
0a180d5f38,4/6/2016,12:30,JRM/JH,TRUE,RATTLESNAKE,SUNNY,2,18.8,17.6,SIGHT,BASKING,TALUS,on rocks,Den 6,322933,5435288,SOUTH,DEN 6,15,74.7,420,89,331,MALE,ADULT,N/A,,,,,,>100,>100,S,S,FALSE,13:01,17-Apr,Den 6,11,SWAB 010. looks good after surg
989001004384287,4/6/2016,12:30,JRM/JH,FALSE,RATTLESNAKE,SUNNY,2,18.8,17.6,SIGHT,BASKING,TALUS,on rocks,Den 6,322933,5435288,SOUTH,DEN 6,79,77.8,654,94,560,MALE,ADULT,N/A,,,,,,>100,>100,S,S,FALSE,12:55,same as cap,Den 6,0,
989001004384234,4/6/2016,12:30,JRM/JH,FALSE,GOPHERSNAKE,SUNNY,2,18.8,17.6,SIGHT,MOVING,TALUS,on rocks,Den 6,322933,5435288,SOUTH,,,96.1,,445,,MALE,ADULT,N/A,,,,,,>100,>100,S,S,FALSE,13:22,same as cap,Den 6,0,missing left eye
989001004384272,4/6/2016,15:50,JRM/JH,FALSE,RATTLESNAKE,SUNNY,2,23.5,23.6,SIGHT,BASKING,TALUS,on rocks,Den 6,322933,5435288,SOUTH,DEN 6,28,61.2,276,107,169,MALE,ADULT,N/A,,,,,,>100,>100,S,S,FALSE,9:00,17-Apr,Den 6,11,GOLF. Swab 013
989001004384253,4/6/2016,15:50,JRM/JH,FALSE,RATTLESNAKE,SUNNY,2,23.5,23.6,SIGHT,BASKING,TALUS,on rocks,Den 6,322933,5435288,SOUTH,DEN 6,66,70.1,331,98,233,MALE,ADULT,N/A,,,,,,>100,>100,S,S,FALSE,9:00,17-Apr,Den 6,11,ECHO. Swab 008
989001004384280,4/6/2016,15:50,JRM/JH,FALSE,RATTLESNAKE,SUNNY,2,23.5,23.6,SIGHT,BASKING,TALUS,on rocks ,Den 6,322933,5435288,SOUTH,DEN 6,60,56.2,255,110,145,FEMALE,ADULT,NON-GRAVID,,,,,,>100,>100,S,S,FALSE,16:28,4-Apr,Den 6,0,
4a655f7a72,4/6/2016,15:50,JRM/JH,TRUE,RATTLESNAKE,SUNNY,2,23.5,23.6,SIGHT,BASKING,TALUS,on rocks,Den 6,322933,5435288,SOUTH,DEN 6,36,55.8,215,70,145,FEMALE,ADULT,NON-GRAVID,,,,,,>100,>100,S,S,FALSE,16:41,4-Apr,Den 6,0,
4845663a49,4/6/2016,17:01,JRM/JH,TRUE,RATTLESNAKE,SUNNY,1,23,22.8,SIGHT,BASKING,GOLF COURSE,open ground near rock cover,7th tee shed site,322682,5435074,SOUTH,,44,63.8,335,97,238,FEMALE,ADULT,NON-GRAVID,,,,,,>100,>100,S,S,FALSE,17:23,4-Apr,same as cap,0,reently fed?
4c132e7c27,4/7/2016,13:11,JRM/JH,TRUE,RATTLESNAKE,SUNNY,2,21.6,22,SOUND,BASKING,TALUS,under rock overhand,side slope 15m N Den 27,320852,5437481,NORTH,DEN 27,purple,75.2,307,74,233,FEMALE,ADULT,NON-GRAVID,,,,,,>100,>100,NW,NW,FALSE,13:32,7-Apr,same as cap,0,
989001004384244,4/7/2016,13:40,JRM/JH,FALSE,RATTLESNAKE,SUNNY,2,21.8,22.4,SIGHT,BASKING,TALUS,among rocks,Den 27,320852,5437481,NORTH,Den 27,71,70.5,279,60,219,MALE,ADULT,N/A,,,,,,>100,>100,NW,NW,FALSE,10:05,20-Apr,den 27,13,"HOTEL . Basking w 4 other snakes, could not catch. "
989001004384219,4/7/2016,14:52,JRM/JH,FALSE,RATTLESNAKE,SUNNY,1,20.7,22.1,SIGHT,BASKING,TALUS,under rock overhand,Den 26,320934,5437180,NORTH,Den 26,ps I love you ,61,247,103,144,MALE,ADULT,N/A,,,,,,>100,>100,NW,NW,FALSE,15:15,7-Apr,same as cap,0,
989001004384251,4/7/2016,14:52,JRM/JH,FALSE,RATTLESNAKE,SUNNY,1,20.7,22.1,SIGHT,BASKING,TALUS,rock overhang,Den 26,320934,5437180,NORTH,DEN 26,72,62.4,267,107,160,MALE,ADULT,N/A,,,,,,>100,>100,NW,NW,FALSE,10:05,20-Apr,den 26,13,INDIA
4c3b6e2822,4/7/2016,16:38,JRM/JH,TRUE,RATTLESNAKE,SUNNY,1,19.6,21.1,SIGHT ,BASKING ,TALUS,in rock crack,D1,322836,5434896,SOUTH,D1,61,61.8,346,85,261,FEMALE,ADULT,OVA DETECTED,,,,,,>100,>100,W,W,FALSE,16:52,7-Apr,same as cap,0,4 ova 
4c165e5674,4/7/2016,17:15,JRM/JH,TRUE,RATTLESNAKE,SUNNY,0,20.3,22.7,SIGHT,BASKING,TALUS,on rocks,Den 6,322933,5435288,SOUTH,den 6,62,70.1,407,91,317,MALE,ADULT,N/A,,,,,,>100,>100,S,S,FALSE,9:32,17-Apr,same as cap,10,LOU. Swab 006
989001004384299,4/7/2016,17:15,JRM/JH,FALSE,RATTLESNAKE,SUNNY,0,20.3,22.7,SIGHT,BASKING,TALUS,on rocks,Den 6,322933,5435288,SOUTH,den 6,79,69.5,325,97,228,MALE,ADULT,N/A,,,,,,>100,>100,S,S,FALSE,9:32,17-Apr,same as cap,10,DELTA. Swab 009
989001004384330,4/7/2016,17:15,JRM/JH,FALSE,RATTLESNAKE,SUNNY,0,20.3,22.7,SIGHT,BASKING,TALUS,on rocks,Den 6,322933,5435288,SOUTH,den 6,77,73.4,277,81,196,MALE,ADULT,N/A,,,,,,>100,>100,S,S,FALSE,9:32,17-Apr,same as cap,10,BRAV0. swab 007
454b6b0f2a,4/8/2016,13:06,JRM,TRUE,RATTLESNAKE,SUNNY,1,22.3,22.8,SIGHT,BASKING,TALUS,on rock,den 6,322933,5435288,SOUTH,den 6,36,69,266,71,195,MALE,ADULT,N/A,,,,,,>100,>100,S,S,FALSE,9:32,17-Apr,same as cap,9,FOXTROT. Swab 005
989001004384310,4/8/2016,13:06,JRM,FALSE,RATTLESNAKE,SUNNY,1,22.3,22.8,SIGHT,BASKING,TALUS,on rocks ,Den 6,322933,5435288,SOUTH,den 6,44,64.7,283,98,185,MALE,ADULT,N/A,,,,,,>100,>100,S,S,FALSE,9:32,17-Apr,same as cap,9,CHARLIE. Swab 011
