PIT TAG,DATE,Time,RESEARCHER,RECAP,SPECIES,WEATHER,CLOUD COV,AIR TEMP,GROUND TEM,DET,BEHAVIOUR,MACRO HAB,MICRO HAB,LOCATION,Easting,Northing,DEN,PILLOW,SVL,S+B,BAG,MASS,SEX,AGE CLASS,REPRO,DIST BUI,DIST RD,DIR BUI,DIR RD,RELOC,REL TIME,REL DAY,REL LOC,DAY CAP,COMMENTS
989001005710893,4/11/2017,16:01,"DME, JRM",NO,RATTLE,SUNNY CLOUDY,9,19.4,14.6,SIGHT,BASKING,TALUS SLOPE,ON ROCKS,D2,323237,5434767,2,,61.6,225,102,123,FEMALE,ADULT,POST-PARDUM,>100,>100,SW,SW,N,16.29,APRIL 11 2017,SAME AS CAPTURE,0,
4C3C3E5101,4/11/2017,16:00,"DME, JRM",YES,RATTLE,SUNNY CLOUDY,9,19.4,14.6,SIGHT,BASKING,TALUS SLOPE,ON ROCKS,D2,323237,5434767,2,63,51.2,182,100,82,FEMALE,SUB ADULT,NON-GRAVID,>100,>100,SW,SW,N,16:50,APRIL 11 2017,SAME AS CAPTURE,0,Coiled near other female
989001005710874,4/11/2017,17:10,"DME, JRM",NO,RATTLE,SUNNY CLOUDY,9,20.7,18.8,SIGHT,BASKING,TALUS SLOPE,ON ROCKS,D2,323213,5434799,2,61,50.5,149,75,76,MALE,SUB ADULT,NA,>100,>100,SW,SW,N,17:32,APRIL 11 2017,SAME AS CAPTURE,0,
989001005710866,4/14/2017,13:20,"DME, JRM",YES,RATTLE,SUNNY CLOUDY,9,15.1,16.4,SIGHT,COILED,TALUS SLOPE,UNDER ROCKS,DEN 8,322048,5435750,8,1,53.5,254,130,124,FEMALE,ADULT,OVA DETECTED,>100,>100,S,S,N,13:40,APRIL 14 2017,SAME AS CAPTURE,0,3 OVA DETECTED 
989001005710888,4/14/2017,13:56,"DME, JRM",NO,RATTLE,SUNNY CLOUDY,9,15.1,16.4,SIGHT,BASKING,TALUS SLOPE,ON ROCKS,DEN 8,322048,5435750,8,53,56.3,291,122,169,FEMALE,ADULT,OVA DETECTED,>100,>100,S,S,N,14:11,APRIL 14 2017,SAME AS CAPTURE,0,4 OVA DETECTED
0a180d5f72,4/15/2017,12:15,"DME, JRM",YES,RATTLE,SUNNY ,4,20.0,18.5,SIGHT,BASKING,TALUS SLOPE,ON ROCKS,DEN 8,322048,5435750,8,54,65.6,294,96,198,MALE,ADULT,NA,>100,>100,S,S,N,12:24,APRIL 15 2017,SAME AS CAPTURE,0,
0A13677612,4/15/2017,12:15,"DME, JRM",YES,RATTLE,SUNNY,4,20.0,18.5,SIGHT,BASKING,TALUS SLOPE,ON ROCKS,DEN 8,322048,5435750,8,43,58.4,251,80,171,FEMALE,ADULT,OVA DETECTED,>100,>100,S,S,N,12:35,APRIL 15 2017,SAME AS CAPTURE,0,3 OVA DETECTED 
0A13654B29,4/15/2017,12:15,"DME, JRM",YES,RATTLE,SUNNY,4,20.0,18.5,SIGHT,BASKING,TALUS SLOPE,ON ROCKS,DEN 8,322048,5435750,8,3,55.2,256,99,157,FEMALE,ADULT,OVA DETECTED,>100,>100,S,S,N,12:44,APRIL 15 2017,SAME AS CAPTURE,0,2 OVA DETECTED
47022A3D28,4/15/2017,14:15,"DME, JRM",YES,RATTLE,SUNNY CLOUDY,4,16.6,18.3,SIGHT,BASKING,TALUS SLOPE,WITHIN ROCKS,DEN 6,322936,5435286,6,3,61.5,254,106,148,FEMALE,ADULT,NON-GRAVID,>100,>100,SW,SW,N,14:29,APRIL 15 2017,SAME AS CAPTURE,0,SWAB 14
4C133B2412,4/15/2017,14:15,"DME, JRM",YES,RATTLE,SUNNY CLOUDY,4,16.6,18.3,SIGHT,BASKING,TALUS SLOPE,WITHIN ROCKS,DEN 6,322936,5435286,6,4,57.1,220,109,111,FEMALE,SUB ADULT,NON-GRAVID,>100,>100,SW,SW,N,14:42,APRIL 15 2017,SAME AS CAPTURE,0,SWAB 15
0A13677558,4/15/2017,14:15,"DME, JRM",YES,RATTLE,SUNNY CLOUDY,4,16.6,18.3,SIGHT,BASKING,TALUS SLOPE,WITHIN ROCKS,DEN 6,322936,5435286,6,3,61.2,239,96,143,MALE,ADULT,NA,>100,>100,SW,SW,N ,14:54,APRIL 15 2017,SAME AS CAPTURE,0,SWAB 16
