PIT TAG,DATE,Time,RESEARCHER,RECAP,SPECIES,WEATHER,CLOUD COV,AIR TEMP,GROUND TEM,DET,BEHAVIOUR,MACRO HAB,MICRO HAB,LOCATION,Easting,Northing,DEN,PILLOW,SVL,S+B,BAG,MASS,SEX,AGE CLASS,REPRO,DIST BUI,DIST RD,DIR BUI,DIR RD,RELOC,REL TIME,REL DAY,REL LOC,DAY CAP,COMMENTS,"ELEVATION, M"
989001006112849,4/17/2018,14:11,"DME, JH",NO,RATTLE,SUNNY/CLOUDY,5,25.1,20.3,SIGHT,BASKING,TALUS,WITHIN ROCKS,DEN 8,322048,5435750,8,4,51.75,236,120,116,FEMALE,ADULT,NON-GRAVID,>100,>100,SW,SW,NO,14:23,4/17/2018,SAME AS CAP,0,"LOOKED FAT, DID NOT FEEL OVA",
0A13654B29,4/17/2018,14:11,"DME, JH",NO,RATTLE,SUNNY/CLOUDY,5,25.1,20.3,SIGHT,BASKING,TALUS,WITHIN ROCKS,DEN 8,322048,5435750,8,68,54,240,135,105,FEMALE,ADULT,POST PARTUM,>100,>100,SW,SW,NO,14:28,4/17/2018,SAME AS CAP,0,2017 PAINT (OVA DETECTED IN APRIL 2017),
989001006112832,4/18/2018,14:13,"DME, JH",YES,RATTLE,SUNNY/CLOUDY,4,20.4,21.5,SIGHT,BASKING,TALUS,WITHIN PINE NEEDLES,RC DEN,322479,5435557,RC DEN,50,49.5,254,124,130,FEMALE,ADULT,NON-GRAVID,>100,>100,SW,SW,NO,14:23,4/18/2018,SAME AS CAP,0,2017 PAINT,
989001005710916,4/18/2018,14:13,"DME, JH",YES,RATTLE,SUNNY/CLOUDY,4,20.4,21.5,SIGHT,BASKING,TALUS,WITHIN PINE NEEDLES,RC DEN,322479,5435557,RC DEN,50,52.5,206,124,82,FEMALE,ADULT,POST PARTUM,>100,>100,SW,SW,NO,14:30,4/18/2018,SAME AS CAP,0,2016 PAINT- LOOKED VERY THIN AND SKIN WAS BAGGY (POST PARTUM),
989001006112816,4/18/2018,14:13,"DME, JH",YES,RATTLE,SUNNY/CLOUDY,4,20.4,21.5,SIGHT,BASKING,TALUS,WITHIN PINE NEEDLES,RC DEN,322479,5435557,RC DEN,50,49.9,195,124,71,FEMALE,SUB ADULT,NON-GRAVID,>100,>100,SW,SW,NO,14:35,4/18/2018,SAME AS CAP,0,2017 PAINT,
989001006112894,4/18/2018,15:13,"DME, JH",NO,RATTLE,SUNNY/CLOUDY,4,20.4,21.5,SIGHT,BASKING,TALUS,WITHIN ROCKS,RC DEN,322479,5435557,RC DEN,50,39.8,161,124,37,FEMALE,JUVENILE,NON-GRAVID,>100,>100,SW,SW,NO,14:49,4/18/2018,SAME AS CAP,0,,
0A13677609,04/19/18,12:22,"DME, RR",YES,RATTLE,SUNNY,1,20.5,14.5,SIGHT,BASKING,TALUS,WITHIN ROCKS,DEN 6,322936,5435286,DEN 6,99,61.5,239,111,128,FEMALE,ADULT,POST PARTUM,>100,>100,SW,SW,NO,12:26,4/22/2018,SAME AS CAPTURE,3,"NARCISSA- KEPT FOR TRANSMITTER REMOVAL, SURG SITE LOOKS GOOD",
989001004384272,04/19/18,12:22,"DME, RR",YES,RATTLE,SUNNY,1,20.5,14.5,SIGHT,BASKING,TALUS,WITHIN ROCKS,DEN 6,322936,5435286,DEN 6,51,64.5,256,110,146,MALE,ADULT,NA,>100,>100,SW,SW,NO,12:50,04/19/18,SAME AS CAPTURE,0,,
484E094C24,04/19/18,12:22,"DME, RR",YES,RATTLE,SUNNY,1,20.5,14.5,SIGHT,BASKING,TALUS,WITHIN ROCKS,DEN 6,322936,5435286,DEN 6,51,72.5,340,110,230,MALE,ADULT,NA,>100,>100,SW,SW,NO,12:57,04/19/18,SAME AS CAPTURE,0,,
989001005040830,04/19/18,12:22,"DME, RR",YES,RATTLE,SUNNY,1,20.5,14.5,SIGHT,BASKING,TALUS,WITHIN ROCKS,DEN 6,322936,5435286,DEN 6,,62.3,305,115,290,FEMALE,ADULT,GRAVID,>100,>100,SW,SW,NO,12:00,4/29/2018,SAME AS CAPTURE,10,3 OVA DETECTED- KEPT FOR TRANSMITTER- APHRODITE,
