PIT TAG,DATE,Time,RESEARCHER,RECAP,SPECIES,WEATHER,CLOUD COV,AIR TEMP,GROUND TEMP,DET,BEHAVIOUR,MACRO HAB,MICRO HAB,LOCATION,Easting,Northing,DEN,PILLOW,SVL,S+B,BAG,MASS,SEX,AGE CLASS,REPRO,DIST BUI,DIST RD,DIR BUI,DIR RD,RELOC,REL TIME,REL DAY,REL LOC,DAY CAP,RATTLE,COMMENTS,"ELEVATION, M"
989001006112881,04-09-2019,14:15,"DME, AS",YES,RATTLE,SUNNY/CLOUDY,7,UNKNOWN,24,SIGHT,BASKING ,TALUS,WITHIN ROCKS ,10M DOWNSLOPE RC DEN ,322468,5435541,RC DEN,60,66.2,330,105,225,M,ADULT,NON GRAVID,>100,>100,SW,SW,NO,14:50,04-09-2019,SAME AS CAPTURE,0,NA,3 SHEDS SINCE 2017,
900254000867104,04-09-2019,14:15,"DME, AS",YES,RATTLE,SUNNY/CLOUDY,7,UNKNOWN,24,SIGHT,BASKING,TALUS,WITHIN ROCKS ,10M DOWNSLOPE RC DEN ,322468,5435541,RC DEN,60,51.4,195,105,90,M,SUB ADULT,NA,>100,>100,SW,SW,NO,15:06,04-09-2019,SAME AS CAPTURE,0,3+B,,
989001005040905,04-09-2019,14:15,"DME, AS",YES,RATTLE,SUNNY/CLOUDY,7,UNKNOWN,24,SIGHT,BASKING,TALUS,WITHIN ROCKS ,10M DOWNSLOPE RC DEN ,322468,5435541,RC DEN,60,64.6,315,105,210,M,ADULT,NA,>100,>100,SW,SW,NO,15:13,04-09-2019,SAME AS CAPTURE,0,NA,3 SHEDS SINCE 2017,
4C132C3146,04-09-2019,14:15,"DME, AS",YES,RATTLE,SUNNY/CLOUDY,7,UNKNOWN,24,SIGHT,BASKING,TALUS,WITHIN ROCKS ,RC DEN,322479,5435557,RC DEN,60,71,410,105,305,M,ADULT,NA,>100,>100,SW,SW,NO,14:55,04-09-2019,SAME AS CAPTURE,0,NA,,
989001006650743,04-09-2019,14:15,"DME, AS",YES,RATTLE,SUNNY/CLOUDY,7,UNKNOWN,24,SIGHT,BASKING,TALUS,WITHIN ROCKS ,RC DEN,322479,5435557,RC DEN,60,60.2,260,105,155,M,ADULT,NA,>100,>100,SW,SW,NO,15:00,04-09-2019,SAME AS CAPTURE,0,NA,,
0A13677576,04-09-2019,14:15,"DME, AS",YES,RATTLE,SUNNY/CLOUDY,7,UNKNOWN,24,SIGHT,BASKING,TALUS,WITHIN ROCKS ,10M DOWNSLOPE RC DEN ,322468,5435541,RC DEN,28,57.5,248,110,138,F,ADULT,POST PARTUM,>100,>100,SW,SW,NO,15:15,04-12-2019,SAME AS CAPTURE,3,NA,"CALYPSO-CAPTURED FOR REMOVAL, GOOD CONDITION",
989001004384254,04-09-2019,14:15,"DME, AS",YES,RATTLE,SUNNY/CLOUDY,7,UNKNOWN,24,SIGHT,BASKING,TALUS,WITHIN ROCKS ,RC DEN,322479,5435557,RC DEN,60,70.3,345,105,240,M,ADULT,NA,>100,>100,SW,SW,NO,15:25,04-09-2019,SAME AS CAPTURE,0,NA,4 SHEDS SINCE 2017,
989001004384326,04-09-2019,14:15,"DME, AS",YES,RATTLE,SUNNY/CLOUDY,7,UNKNOWN,24,SIGHT,BASKING,TALUS,WITHIN ROCKS ,RC DEN,322479,5435557,RC DEN,63,56.3,254,99,155,M,ADULT,NON GRAVID,>100,>100,SW,SW,NO,16:01,04-09-2019,SAME AS CAPTURE,0,,,
0A180DF64,04-09-2019,14:15,"DME, AS",YES,RATTLE,SUNNY/CLOUDY,7,UNKNOWN,24,SIGHT,BASKING,TALUS,WITHIN ROCKS ,RC DEN,322479,5435557,RC DEN,63,64.5,246,99,146,,ADULT,NA,>100,>100,SW,SW,NO,16:08,04-09-2019,SAME AS CAPTURE,0,,,
989001006112821,04-09-2019,16:30,"DME, AS",YES,RATTLE,SUNNY,3,UNKNOWN,17.6,SIGHT,BASKING,TALUS,WITHIN ROCKS ,RC DEN,322479,5435557,RC DEN,63,86,530,99,431,M,ADULT,NA,>100,>100,SW,SW,NO,17:00,04-09-2019,SAME AS CAPTURE,0,,,
989001005710924,04-09-2019,16:30,"DME, AS",YES,RATTLE,SUNNY,3,UNKNOWN,17.6,SIGHT,COILED,TALUS,WITHIN ROCKS ,RC DEN,322479,5435557,RC DEN,63,70.5,338,99,239,M,ADULT,NA,>100,>100,SW,SW,NO,17:03,04-09-2019,SAME AS CAPTURE,0,,,
0A180D5F77,04-09-2019,16:30,"DME, AS",YES,RATTLE,SUNNY,3,UNKNOWN,17.6,SIGHT,BASKING,TALUS,WITHIN ROCKS ,RC DEN,322479,5435557,RC DEN,63,66.5,320,99,221,M,ADULT,NA,>100,>100,SW,SW,NO,16:50,04-09-2019,SAME AS CAPTURE,0,,1 SHED SINCE 2018,
989001006112815,04-09-2019,16:30,"DME, AS",YES,RATTLE,SUNNY,3,UNKNOWN,17.6,SIGHT,BASKING,TALUS,WITHIN ROCKS ,RC DEN,322479,5435557,RC DEN,63,54.2,211,99,112,M,SUB ADULT,NA,>100,>100,SW,SW,NO,17:30,04-09-2019,SAME AS CAPTURE,0,3+B,,
0A180D6000,04-09-2019,16:30,"DME, AS",YES,RATTLE,SUNNY,3,UNKNOWN,17.6,SIGHT,BASKING,TALUS,WITHIN ROCKS ,RC DEN,322479,5435557,RC DEN,63,63.2,245,99,146,F,ADULT,POST PARTUM,>100,>100,SW,SW,NO,17:24,04-09-2019,SAME AS CAPTURE,0,,,
900254000883785,04-09-2019,13:20,"DME, AS",NO,RATTLE,CLOUDY,7,UNKNOWN,21,SIGHT,BASKING,OPEN FOREST,WITHIN ROCKS ,SHED SITE BELOW RANCHER CREEK,322287,5435284,NA,28,57.5,220,110,110,F,ADULT,NON GRAVID,>100,>100,W,W,NO,13:53,04-09-2019,SAME AS CAPTURE,0,7+B,SKINNY,
