PIT TAG,DATE,Time,RESEARCHER,RECAP,CAUGHT 2020,SPECIES,WEATHER,CLOUD COV,AIR TEMP,GROUND TEMP,DET,BEHAVIOUR,MACRO HAB,MICRO HAB,LOCATION,Easting,Northing,DEN,PILLOW,SVL,S+B,BAG,MASS,SEX,AGE CLASS,REPRO,OVA COUNT,DIST BUI,DIST RD,DIR BUI,DIR RD,RELOC,REL TIME,REL DAY,REL LOC,DAY CAP,RATTLE,FOOD,POOP,DEMEANOR,COMMENTS
982126057821537,04-07-2020,11:24,"DME, CRH",NO,NO,GOPHER,SUNNY,0,18.3,12.5,SIGHT,BASKING,TALUS/OPEN FOREST,ROCK PILE,INTERPRETIVE TRAIL SHED SITE,322287,5435284,NA,1C,87.5,385,107,278,F,ADULT,NON GRAVID,NA,>350,>350,SW,SW,NO,11:35,04-07-2020,SAME AS CAPTURE,0,NA,,,,
982126057821592,04-07-2020,11:39,"DME, CRH",NO,NO,RATTLE,SUNNY,0,18.3,12.5,SIGHT,BASKING,TALUS/OPEN FOREST,ROCK PILE,INTERPRETIVE TRAIL SHED SITE,322287,5435284,NA,1C,56.5,245,107,138,M,ADULT,NA,NA,>350,>350,SW,SW,NO,11:45,04-07-2020,SAME AS CAPTURE,0,3+B,,,,
982126057821561,04-07-2020,12:52,"DME, CRH",NO,NO,RATTLE,SUNNY,0,20,25.4,SIGHT,BASKING,TALUS,IN ROCKS,DEN 8,322061,5435697,DEN 8,1C,55.5,235,107,128,M,ADULT,NA,NA,>800,>800,SW,SW,NO,13:05,04-07-2020,SAME AS CAPTURE,0,4+B,,,,
989001006650714,04-07-2020,12:52,"DME, CRH",YES,NO,RATTLE,SUNNY,0,20,25.4,SIGHT,BASKING,TALUS,IN ROCKS,DEN 8,322061,5435697,DEN 8,1C,58.2,260,107,153,F,ADULT,PP,NA,>800,>800,SW,SW,NO,13:09,04-07-2020,SAME AS CAPTURE,0,"8 BROKEN, 2 SHEDS SINCE 2018",,,,
982126057821597,04-07-2020,12:52,"DME, CRH",YES,NO,RATTLE,SUNNY,0,20,25.4,SIGHT,BASKING,TALUS,IN ROCKS,DEN 8,322061,5435697,DEN 8,TAN,63.2,347,85,262,F,ADULT,GRAVID,5,>800,>800,SW,SW,NO,,04-07-2020,SAME AS CAPTURE,0,"7+B, NO SHED SINCE 2019",,,,
900254001041583,04-07-2020,12:52,"DME, CRH",YES,NO,RATTLE,SUNNY,0,20,25.4,SIGHT,BASKING,TALUS,IN ROCKS,DEN 8,322061,5435697,DEN 8,TAN,63.9,366,85,281,F,ADULT,GRAVID,4,>800,>800,SW,SW,NO,,04-07-2020,SAME AS CAPTURE,0,1 SHED SINCE 2018,,,,
989001006782075,04-07-2020,12:52,"DME, CRH",YES,NO,RATTLE,SUNNY,0,20,25.4,SIGHT,BASKING,TALUS,IN ROCKS,DEN 8,322061,5435697,DEN 8,TAN,60.9,290,85,205,F,ADULT,GRAVID,4,>800,>800,SW,SW,NO,13:50,04-07-2020,SAME AS CAPTURE,0,"5+B, 2 SHEDS SINE 2018",,,,
989001005710888,04-07-2020,12:52,"DME, CRH",YES,NO,RATTLE,SUNNY,0,20,25.4,SIGHT,BASKING,TALUS,IN ROCKS,DEN 8,322061,5435697,DEN 8,TAN,63.4,261,85,176,F,ADULT,NON GRAVID,NA,>800,>800,SW,SW,NO,14:00,04-07-2020,SAME AS CAPTURE,0,"6 BROKEN, NO SHED SINCE 2019",,,,
982126057821576,04-07-2020,12:52,"DME, CRH",NO,NO,RATTLE,SUNNY,0,20,25.4,SIGHT,BASKING,TALUS,IN ROCKS,DEN 8,322061,5435697,DEN 8,1C,78.3,445,107,338,M,ADULT,NA,NA,>800,>800,SW,SW,NO,,04-07-2020,SAME AS CAPTURE,0,6 BROKEN,,YES,,
0A13677612,04-07-2020,12:52,"DME, CRH",YES,NO,RATTLE,SUNNY,0,20,25.4,SIGHT,BASKING,TALUS,IN ROCKS,DEN 8,322061,5435697,DEN 8,1C,66.4,300,107,193,F,ADULT,NON GRAVID,NA,>800,>800,SW,SW,NO,,04-07-2020,SAME AS CAPTURE,0,"7 BROKEN, NO SHED SINCE 2019",,,,
982126057821721,04-07-2020,14:00,"DME, CRH",NO,NO,RATTLE,SUNNY,0,20,25.4,SIGHT,BASKING,TALUS,IN ROCKS,DEN 8,322061,5435697,DEN 8,TAN,29.1,94,85,9,M,NEONATE,NA,NA,>800,>800,SW,SW,NO,14:05,04-07-2020,SAME AS CAPTURE,0,B,,,,
982126057821568,04-07-2020,14:27,"DME, CRH",NO,NO,RATTLE,SUNNY,0,20,25.4,SOUND,BASKING,TALUS,UNDER ROCK,15M DOWNSLOPE DEN 8,322043,5435737,NA,TAN,56.9,236,85,151,F,ADULT,NON GRAVID,NA,>800,>800,SW,SW,NO,14:35,04-07-2020,SAME AS CAPTURE,0,4 BROKEN,,,,
989002009550407,04-07-2020,15:05,"DME, CRH",YES,NO,RATTLE,SUNNY,0,24.1,24.7,SIGHT,BASKING,TALUS,IN ROCKS,DEN 5,321954,5435908,DEN 5,TAN,79.1,310,85,225,M,ADULT,NA,NA,>900,>900,SW,SW,NO,15:14,04-07-2020,SAME AS CAPTURE,0,"9 BROKEN, 2 SHEDS SINCE 2019",,,,
