PIT TAG,DATE,Time,RESEARCHER,RECAP,CAUGHT 2022,SPECIES,WEATHER,CLOUD COV,AIR TEMP,GROUND TEMP,DET,BEHAVIOUR,MACRO HAB,MICRO HAB,LOCATION,Easting,NOrthing,DEN,PILLOW,SVL,S+B,BAG,MASS,SEX,AGE CLASS,REPRO,OVA COUNT,RELOC,REL TIME,REL DAY,REL LOC,DAY CAP,RATTLE,FOOD,POOP,COMMENTS
9.82091E+14,4/13/2022,12:40,CRH LPW,NO,NO,RATTLE,SUN,10%,12.6,20.7,SOUND,HIDING,TALUS,UNDER ROCK,DEN 26,320934,5437180,DEN 26,PAISLEY,33.1,104,83,21,F,JUVENILE,NA,NA,NO,13:10,4/13/2022,DEN 26,0,BUZZY BUTTON,NO,NO,
9.82091E+14,4/13/2022,16:00,CRH LPW,NO,NO,RATTLE,SUN/CLOUD,60%,10.1,19.9,SIGHT,BASKING,TALUS,IN ROCKS,DEN 6,322936,5435286,DEN 6,BEIGE,51.3,151,73,78,M,SUB ADULT,NA,NA,NO,16:17,4/13/2022,DEN 6,0,4 + BUTTON,NO,NO,
9.82091E+14,4/13/2022,16:00,CRH LPW,NO,NO,RATTLE,SUN/CLOUD,60%,10.1,19.9,SIGHT,BASKING,TALUS,IN ROCKS,DEN 6,322936,5435286,DEN 6,BEIGE,62.2,344,73,271,F,ADULT,GRAVID,6,NO,16:54,4/13/2022,DEN 6,0,6 BROKEN,NO,NO,FAT!!
497F5A0D51,4/13/2022,16:00,CRH LPW,NO,NO,RATTLE,SUN/CLOUD,60%,10.1,19.9,SIGHT,BASKING,TALUS,IN ROCKS,DEN 6,322936,5435286,DEN 6,BEIGE,65.3,243,73,170,M,ADULT,NA,NA,NO,11:30,19-04-2022,DEN 6,6,"5 BROKEN, 1 SINCE 2021",NO,NO,"TELEMETRY SNAKE ""BULBASAUR"" "
9.87091E+14,4/13/2022,16:00,CRH LPW,YES,NO,RATTLE,SUN/CLOUD,60%,10.1,19.9,SIGHT,BASKING,TALUS,IN ROCKS,DEN 6,322936,5435286,DEN 6,BEIGE,64.6,250,73,177,M,ADULT,NA,NA,NO,11:30,19-04-2022,DEN 6,6,"5 BROKEN, 1 SINCE 2021",NO,NO,"TELEMETRY SNAKE ""DIGLETT"""
0A1367755F,4/13/2022,16:00,CRH LPW,YES,NO,RATTLE,SUN/CLOUD,60%,10.1,19.9,SIGHT,BASKING,TALUS,IN ROCKS,DEN 6,322936,5435286,DEN 6,BEIGE,80.1,344,73,271,M,ADULT,NA,NA,NO,16:43,4/13/2022,DEN 6,0,"11 BROKEN, 1 SINCE 2021",NO,NO,"2013 TELEMETRY SNAKE ""ZORRO"" - SURERY SITE LOOKS GOOD"
98909106275,4/14/2022,13:02,CRH LPW,YES,NO,GOPHER,CLOUD,100%,11.5,15.1,SIGHT,BASKING,TALUS,IN ROCKS,DEN 8,322061,5435697,DEN 8,PAISLEY,96.9,294,83,211,M,ADULT,NA,NA,NO,13:35,4/14/2022,DEN 8,0,NA,NO,NO,
9.82091E+14,4/14/2022,15:05,CRH LPW,NO,NO,RATTLE,SUN/CLOUD,60%,15.2,23.1,SIGHT,BASKING,TALUS,ON ROCKS,DEN 5,321954,5435908,DEN 5,BEIGE,60.8,239,73,166,F,ADULT,GRAVID,4,NO,16:13,4/14/2022,DEN 5,0,5 + BUTTON ,NO,NO,
9.82091E+14,4/14/2022,13:10,CRH LPW,YES,NO,RATTLE,CLOUD,100%,11.5,15.1,SIGHT,BASKING,TALUS,ON ROCKS,DEN 8,322061,5435697,DEN 8,PAISLEY,70.1,270,83,187,M,ADULT,NA,NA,NO,14:00,4/14/2022,DEN 8,0,"5 BROKEN, 1 SINCE 2021",NO,NO,
9.89002E+14,4/14/2022,15:05,CRH LPW,YES,NO,RATTLE,SUN/CLOUD,60%,15.2,23.1,SIGHT,BASKING,TALUS,ON ROCKS,DEN 5,321954,5435908,DEN 5,BEIGE,61.1,197,73,124,F,ADULT,POSTPARTUM,NA,NO,15:20,4/14/2022,DEN 5,0,"5 BROKEN, 3 SINCE 2019",NO,NO,
9.89002E+14,4/14/2022,15:05,CRH LPW,YES,NO,RATTLE,SUN/CLOUD,60%,15.2,23.1,SIGHT,BASKING,TALUS,ON ROCKS,DEN 5,321954,5435908,DEN 5,BEIGE,61.1,191,73,118,F,ADULT,POSTPARTUM,NA,NO,15:36,4/14/2022,DEN 5,0,"2 BROKEN, 1 SINCE 2021",NO,NO,
483C731362,4/14/2022,15:05,CRH LPW,YES,NO,RATTLE,SUN/CLOUD,60%,15.2,23.1,SIGHT,BASKING,TALUS,ON ROCKS,DEN 5,321954,5435908,DEN 5,BEIGE,77.9,384,73,311,M,ADULT,NA,NA,NO,15:47,4/14/2022,DEN 5,0,"11 BROKEN, 5 SINCE 2019",NO,NO,
9.82091E+14,4/14/2022,15:05,CRH LPW,YES,NO,RATTLE,SUN/CLOUD,60%,15.2,23.1,SIGHT,BASKING,TALUS,ON ROCKS,DEN 5,321954,5435908,DEN 5,BEIGE,58.7,170,73,97,F,ADULT,POSTPARTUM,NA,NO,16:03,4/14/2022,DEN 5,0,"5 + BUTTON, 0 SINCE 2021",NO,NO,
9.89002E+14,4/14/2022,16:14,CRH LPW,YES,NO,RATTLE,SUN/CLOUD,60%,15.2,23.1,SIGHT,BASKING,TALUS,ON ROCKS,DEN 5,321954,5435908,DEN 5,BEIGE,65.2,223,73,150,F,ADULT,POSTPARTUM,NA,NO,16:24,4/14/2022,DEN 5,0,"8 BROKEN, 3 SINCE 2019",NO,NO,"2019 TELEMETRY SNAKE ""SALLY"""
9.89001E+14,4/15/2022,12:10,CRH LPW,YES,NO,RATTLE,CLOUD,90%,8.8,29.1,SIGHT,BASKING,ROCK OUTCROP,ON ROCKS,RC DEN,322479,5435557,RC DEN,BEIGE,65.1,334,73,261,F,ADULT,GRAVID,5,NO,12:20,4/15/2022,RC DEN,0,"7 BROKEN, 1 SINCE 2020",NO,NO,
9.89001E+14,4/15/2022,12:10,CRH LPW,YES,NO,RATTLE,CLOUD,90%,8.8,29.1,SIGHT,BASKING,ROCK OUTCROP,ON ROCKS,RC DEN,322479,5435557,RC DEN,BEIGE,64.4,226,73,153,M,ADULT,NA,NA,NO,13:00,19-04-2022,RC DEN,3,"8 BROKEN, 3 SINCE 2020",NO,NO,"TELEMETRY SNAKE ""CHARIZARD"" "
9.82091E+14,4/15/2022,12:10,CRH LPW,YES,NO,RATTLE,CLOUD,90%,8.8,29.1,SIGHT,BASKING,ROCK OUTCROP,ON ROCKS,RC DEN,322479,5435557,RC DEN,PAISLEY,57.8,271,83,188,F,ADULT,GRAVID,5,NO,12:42,4/15/2022,RC DEN,0,"6 BROKEN, 2 SINCE 2020",NO,NO,
9.82091E+14,4/15/2022,12:10,CRH LPW,YES,NO,RATTLE,CLOUD,90%,8.8,29.1,SIGHT,BASKING,ROCK OUTCROP,ON ROCKS,RC DEN,322479,5435557,RC DEN,GRAY,68.1,297,112,185,M,ADULT,NA,NA,NO,13:00,19-04-2022,RC DEN,3,"6 BROKEN, 2 SINCE 2021",NO,NO,"TELEMETRY SNAKE ""LICKITUNG"""
9.82126E+14,4/15/2022,12:10,CRH LPW,YES,NO,RATTLE,CLOUD,90%,8.8,29.1,SIGHT,BASKING,ROCK OUTCROP,ON ROCKS,RC DEN,322479,5435557,RC DEN,PAISLEY,55.4,219,83,136,F,ADULT,GRAVID,4,NO,13:03,4/15/2022,RC DEN,0,"5 + BUTTON, 2 SINCE 2021",NO,NO,
9.82091E+14,4/15/2022,12:10,CRH LPW,YES,NO,RATTLE,CLOUD,90%,8.8,29.1,SIGHT,BASKING,ROCK OUTCROP,ON ROCKS,RC DEN,322479,5435557,RC DEN,PAISLEY,57.6,236,83,153,F,ADULT,GRAVID,3,NO,13:11,4/15/2022,RC DEN,0,"3 BROKEN, 2 SINCE 2021",NO,NO,
9.82091E+14,4/15/2022,12:10,CRH LPW,YES,NO,RATTLE,CLOUD,90%,8.8,29.1,SIGHT,BASKING,ROCK OUTCROP,ON ROCKS,RC DEN,322479,5435557,RC DEN,PAISLEY,52.3,176,83,93,M,SUB ADULT,NA,NA,NO,13:24,4/15/2022,RC DEN,0,4 BROKEN,NO,NO,
9.89001E+14,4/15/2022,12:10,CRH LPW,YES,NO,RATTLE,CLOUD,90%,8.8,29.1,SIGHT,BASKING,ROCK OUTCROP,ON ROCKS,RC DEN,322479,5435557,RC DEN,PAISLEY,66.6,230,83,147,F,ADULT,POSTPARTUM,NA,NO,13:00,19-04-2022,RC DEN,3,"7 BROKEN, 4 SINCE 2019",NO,NO,"2019 TELEMETRY SNAKE ""FRIDA"", VISIBLE TRANSMITTER COMING OUT THROUGH SKIN, KEPT FOR REMOVAL SURGERY "
9.82091E+14,4/17/2022,13:40,CRH LPW,NO,NO,RATTLE,SUN,5%,17.4,20.8,SIGHT,BASKING,TALUS,ON ROCKS,DEN 6,322936,5435286,DEN 6,PAISLEY,40.1,123,83,40,F,JUVENILE,NA,NA,NO,14:09,4/17/2022,DEN 6,0,2 + BUTTON,NO,NO,
9.82091E+14,4/17/2022,13:40,CRH LPW,NO,NO,RATTLE,SUN,5%,17.4,20.8,SIGHT,BASKING,TALUS,ON ROCKS,DEN 6 SATELITE,322957,5435294,DEN 6 SATELITE,PAISLEY,43.3,140,83,57,M,JUVENILE,NA,NA,NO,14:35,4/17/2022,DEN 6 SATELITE,0,1 BROKEN,NO,NO,SMALL SCAR NEAR VENT (ABOVE) ON RIGHT SIDE OF BODY
9.89001E+14,4/17/2022,13:40,CRH LPW,NO,NO,RATTLE,SUN,5%,17.4,20.8,SIGHT,BASKING,TALUS,ON ROCKS,DEN 6 SATELITE,322957,5435294,DEN 6 SATELITE,PAISLEY,63.5,249,83,166,M,ADULT,NA,NA,NO,14:57,4/17/2022,DEN 6 SATELITE,0,"8 BROKEN, 2 SINCE 2021",NO,NO,
9.82091E+14,4/17/2022,18:05,CRH LPW,NO,NO,RATTLE,SUN,10%,16.1,25.4,SIGHT,BASKING,TALUS,ON ROCKS,DEN 6,322936,5435286,DEN 6,PAISLEY,42.8,146,83,63,M,JUVENILE,NA,NA,NO,17:41,4/17/2022,DEN 6,0,1 + BUTTON,NO,NO,
9.82091E+14,4/17/2022,18:05,CRH LPW,NO,NO,RATTLE,SUN,10%,16.1,25.4,SIGHT,BASKING,TALUS,ON ROCKS,DEN 6,322936,5435286,DEN 6,PAISLEY,36.3,119,83,36,M,JUVENILE,NA,NA,NO,17:51,4/17/2022,DEN 6,0,1 + BUTTON,NO,NO,
9.89001E+14,4/17/2022,13:40,CRH LPW,YES,NO,RATTLE,SUN,5%,17.4,20.8,SIGHT,BASKING,TALUS,ON ROCKS,DEN 6 SATELITE,322957,5435294,DEN 6 SATELITE,PAISLEY,63.7,227,83,144,M,ADULT,NA,NA,NO,14:45,4/17/2022,DEN 6 SATELITE,0,"8 BROKEN, 1 SINCE 2021",NO,NO,
9.89001E+14,4/17/2022,13:40,CRH LPW,YES,NO,RATTLE,SUN,5%,17.4,20.8,SIGHT,BASKING,TALUS,ON ROCKS,DEN 6 SATELITE,322957,5435294,DEN 6 SATELITE,PAISLEY,73.8,345,83,262,M,ADULT,NA,NA,NO,17:09,4/17/2022,DEN 6 SATELITE,0,"4 BROKEN, NO PAINT",NO,NO,
9.82126E+14,4/17/2022,15:25,CRH LPW,YES,NO,RATTLE,SUN,5%,17.4,20.8,SIGHT,BASKING,TALUS,ON ROCKS,DEN 6 SATELITE,322957,5435294,DEN 6 SATELITE,BEIGE,56.9,198,73,125,F?,ADULT,NONGRAVID,NA,N0,15:35,4/17/2022,DEN 6 SATELITE,0,"4 BROKEN, 3 SINCE 2019",NO,NO,
0A180D5F42,4/17/2022,15:25,CRH LPW,YES,NO,RATTLE,SUN,5%,17.4,20.8,SIGHT,BASKING,TALUS,ON ROCKS,DEN 6 SATELITE,322957,5435294,DEN 6 SATELITE,BEIGE,74.1,372,73,299,M,ADULT,NA,NA,NO,14:46,20-04-2022,DEN 6 SATELITE,3,"7 BROKEN, 2 SINCE 2021",NO,NO,"2015 TELEMETRY SNAKE ""CONGO"" - KEEPING FOR 2022 TELEMETRY"
