Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-119.44,49.03,OSOYOOS CS,1125852,2022-01-01,2022,1,1,,-9.4,,-18.2,,-13.8,,31.8,,0,,,,,,0,,1,,,,,
-119.44,49.03,OSOYOOS CS,1125852,2022-01-02,2022,1,2,,-5.7,,-11.3,,-8.5,,26.5,,0,,,,,,0.2,,1,,,,,
-119.44,49.03,OSOYOOS CS,1125852,2022-01-03,2022,1,3,,-0.6,,-7,,-3.8,,21.8,,0,,,,,,6.2,,9,,14,,31,
-119.44,49.03,OSOYOOS CS,1125852,2022-01-04,2022,1,4,,-2.1,,-5.5,,-3.8,,21.8,,0,,,,,,1.8,,12,,,,,
-119.44,49.03,OSOYOOS CS,1125852,2022-01-05,2022,1,5,,-4.5,,-9.1,,-6.8,,24.8,,0,,,,,,3.5,,13,,32,,41,
-119.44,49.03,OSOYOOS CS,1125852,2022-01-06,2022,1,6,,-6.4,,-10.9,,-8.6,,26.6,,0,,,,,,17.5,,21,,,,,
-119.44,49.03,OSOYOOS CS,1125852,2022-01-07,2022,1,7,,0.2,,-11.1,,-5.4,,23.4,,0,,,,,,0.5,,22,,,,,
-119.44,49.03,OSOYOOS CS,1125852,2022-01-08,2022,1,8,,-3.6,,-18.3,,-10.9,,28.9,,0,,,,,,0,,20,,,,,
-119.44,49.03,OSOYOOS CS,1125852,2022-01-09,2022,1,9,,1.3,,-12.9,,-5.8,,23.8,,0,,,,,,0,,19,,,,,
-119.44,49.03,OSOYOOS CS,1125852,2022-01-10,2022,1,10,,-0.9,,-10.3,,-5.6,,23.6,,0,,,,,,0,,18,,14,,32,
