"","Date.Time","Year","Max.Temp.C","Min.Temp.C","Mean.Temp.C","Total.Precip.mm"
"1","2005-01-01",2005,-2.7,-4.3,-3.5,0
"2","2005-01-02",2005,-4.1,-9.1,-6.6,0
"3","2005-01-03",2005,-5.2,-10.8,-8,0
"4","2005-01-04",2005,-4.6,-9.7,-7.2,0
"5","2005-01-05",2005,-4.3,-11,-7.7,0
"6","2005-01-06",2005,-3.2,-9.2,-6.2,NA
"7","2005-01-07",2005,-3,-5.8,-4.4,0
"8","2005-01-08",2005,-2,-4.3,-3.2,3.2
"9","2005-01-09",2005,-3,-10.1,-6.6,0.2
"10","2005-01-10",2005,-4,-9.8,-6.9,0
"11","2005-01-11",2005,-4.5,-8.2,-6.4,0
"12","2005-01-12",2005,-0.3,-6.2,-3.3,0.2
"13","2005-01-13",2005,-4.1,-11.7,-7.9,0
"14","2005-01-14",2005,-9.9,-15.9,-12.9,0
"15","2005-01-15",2005,-10.8,-18.7,-14.8,NA
"16","2005-01-16",2005,-6.8,-12.5,-9.7,0
"17","2005-01-17",2005,-2.1,-8.1,-5.1,0
"18","2005-01-18",2005,2.1,-3.2,-0.6,2.6
"19","2005-01-19",2005,7.3,0,3.7,0
"20","2005-01-20",2005,7.5,-1.8,2.9,0.2
"21","2005-01-21",2005,3.7,-1.6,1.1,0
"22","2005-01-22",2005,7.4,1.8,4.6,0
"23","2005-01-23",2005,6.5,3,4.8,0
"24","2005-01-24",2005,7.3,0.1,3.7,0
"25","2005-01-25",2005,1.8,-1.2,0.3,0
"26","2005-01-26",2005,3.3,-0.3,1.5,0
"27","2005-01-27",2005,4.8,0.9,2.9,1.2
"28","2005-01-28",2005,4.5,0.6,2.6,0.2
"29","2005-01-29",2005,6.5,2,4.3,2.2
"30","2005-01-30",2005,6.3,3.6,5,0
"31","2005-01-31",2005,7.9,1.1,4.5,0
"32","2005-02-01",2005,8.4,-2.1,3.2,0
"33","2005-02-02",2005,9.5,1.2,5.4,0
"34","2005-02-03",2005,10,1,5.5,0
"35","2005-02-04",2005,10.3,0.9,5.6,0.2
"36","2005-02-05",2005,8.7,-1.2,3.8,0
"37","2005-02-06",2005,1.5,-6.8,-2.7,0.2
"38","2005-02-07",2005,5.2,-3.2,1,0
"39","2005-02-08",2005,5.8,-6.9,-0.6,0
"40","2005-02-09",2005,6.5,-6.6,-0.1,0
"41","2005-02-10",2005,5.3,-7.7,-1.2,0
"42","2005-02-11",2005,11,-3,4,0
"43","2005-02-12",2005,9.2,-4.1,2.6,0
"44","2005-02-13",2005,8.3,-2.5,2.9,0.2
"45","2005-02-14",2005,6.5,-7.2,-0.4,0
"46","2005-02-15",2005,6.3,-7.2,-0.5,0
"47","2005-02-16",2005,6.1,-8.8,-1.4,0
"48","2005-02-17",2005,6.5,-9.1,-1.3,0
"49","2005-02-18",2005,8.6,-8.6,0,0
"50","2005-02-19",2005,7.5,-5.7,0.9,0
"51","2005-02-20",2005,8.1,-3.9,2.1,0
"52","2005-02-21",2005,8.1,-8.4,-0.2,0
"53","2005-02-22",2005,9.7,-8,0.9,0
"54","2005-02-23",2005,10.9,-7.3,1.8,0
"55","2005-02-24",2005,13,-7.6,2.7,0
"56","2005-02-25",2005,14.7,-7.4,3.7,0
"57","2005-02-26",2005,13.3,-5.6,3.9,0
"58","2005-02-27",2005,15,-6,4.5,0
"59","2005-02-28",2005,10.3,-4.6,2.9,0
"60","2005-03-01",2005,13.9,5.1,9.5,0
"61","2005-03-02",2005,15.6,0.2,7.9,0
"62","2005-03-03",2005,16.1,-3.4,6.4,0
"63","2005-03-04",2005,16.9,-2.6,7.2,0
"64","2005-03-05",2005,16.2,-2.7,6.8,0
"65","2005-03-06",2005,17.3,-1.4,8,0
"66","2005-03-07",2005,21,2,11.5,0
"67","2005-03-08",2005,13.1,-0.5,6.3,0
"68","2005-03-09",2005,17.8,2.1,10,1.6
"69","2005-03-10",2005,20.3,-2.3,9,0
"70","2005-03-11",2005,17.2,0.8,9,0.4
"71","2005-03-12",2005,16,2.7,9.4,0.2
"72","2005-03-13",2005,16.4,-0.2,8.1,0
"73","2005-03-14",2005,15.6,-4.9,5.4,0
"74","2005-03-15",2005,19.2,-3.4,7.9,0
"75","2005-03-16",2005,14.5,1.5,8,2.6
"76","2005-03-17",2005,11.6,0.5,6.1,0
"77","2005-03-18",2005,13.3,1.9,7.6,0
"78","2005-03-19",2005,8.9,2.5,5.7,0.4
"79","2005-03-20",2005,12.1,3.3,7.7,4.4
"80","2005-03-21",2005,13.7,0.4,7.1,4
"81","2005-03-22",2005,11.3,-2.6,4.4,0
"82","2005-03-23",2005,9.2,3.9,6.6,0
"83","2005-03-24",2005,11.7,3.9,7.8,0
"84","2005-03-25",2005,14.2,2.5,8.4,0
"85","2005-03-26",2005,8.8,3.2,6,4
"86","2005-03-27",2005,7.1,4.9,6,4.2
"87","2005-03-28",2005,13,2.1,7.6,0.2
"88","2005-03-29",2005,12.2,1.2,6.7,1
"89","2005-03-30",2005,13.4,-0.8,6.3,0
"90","2005-03-31",2005,12.8,0.2,6.5,0
"91","2005-04-01",2005,17.2,7.3,12.3,0
"92","2005-04-02",2005,13.8,3.6,8.7,0
"93","2005-04-03",2005,11.5,6.1,8.8,2.6
"94","2005-04-04",2005,14.1,3,8.6,2.4
"95","2005-04-05",2005,13.2,-0.2,6.5,0
"96","2005-04-06",2005,20.5,7.2,13.9,0
"97","2005-04-07",2005,21.1,7.3,14.2,1
"98","2005-04-08",2005,15.4,2.5,9,1
"99","2005-04-09",2005,18.1,4.3,11.2,0
"100","2005-04-10",2005,16.1,-0.4,7.9,0
"101","2005-04-11",2005,14.9,5.7,10.3,3.2
"102","2005-04-12",2005,14.2,-0.9,6.7,0
"103","2005-04-13",2005,15.8,2.3,9.1,0
"104","2005-04-14",2005,14.6,-1.3,6.7,0
"105","2005-04-15",2005,10.6,-2.1,4.3,0
"106","2005-04-16",2005,15.6,6.3,11,1.2
"107","2005-04-17",2005,17.4,1.1,9.3,0
"108","2005-04-18",2005,19.1,-0.7,9.2,0
"109","2005-04-19",2005,21.7,-0.1,10.8,0
"110","2005-04-20",2005,22.3,6.9,14.6,0
"111","2005-04-21",2005,27.3,4.5,15.9,0
"112","2005-04-22",2005,25.3,6.2,15.8,0
"113","2005-04-23",2005,25.6,5.7,15.7,0
"114","2005-04-24",2005,26.2,11.9,19.1,1.6
"115","2005-04-25",2005,29.3,5.1,17.2,0
"116","2005-04-26",2005,28.9,5.3,17.1,0
