"","catch.date","person","species","PIT.tag","length","mass","age.class","sex","repro","air.temp","zscore.mass","zscore.length","zscore.max"
"1",2005-04-10,"JRB","rattlesnake","456d5b1c60",66.5,190,"adult","male",NA,NA,0.201146485577154,0.534751803966244,0.534751803966244
"2",2005-04-10,"JRB","rattlesnake","456d5b7a34",80,322,"adult","male",NA,NA,1.43259804483822,1.27679101501197,1.43259804483822
"3",2005-04-10,"JRB","rattlesnake","445d720a51",56.5,199,"adult","female","gravid",NA,0.285109091890408,0.0149068708824389,0.285109091890408
"4",2005-04-10,"JRB","rattlesnake","456d5c6801",63.5,197,"adult","male",NA,NA,0.266450734931907,0.369854201511639,0.369854201511639
"5",2005-04-10,"JRB","rattlesnake","456d636c48",72,263,"adult","male",NA,NA,0.882176514562443,0.83706407513302,0.882176514562443
"6",2005-04-18,"JRB, RH","rattlesnake","6",68,240,"adult","male",NA,NA,0.66760540953968,0.617200605193547,0.66760540953968
"7",2005-04-18,"JRB, RH","rattlesnake","452f513c7d",60.5,165,"sub.adult","male",NA,NA,0.0320829764041099,0.204956599057034,0.204956599057034
"8",2005-04-18,"JRB, RH","rattlesnake","8",66,195,"adult","male",NA,NA,0.247792377973406,0.50726887022381,0.50726887022381
"10",2005-04-18,"JRB, RH","rattlesnake","10",71.2,320,"adult","male",NA,NA,1.41393968787972,0.793091381145126,1.41393968787972
"11",2005-04-18,"JRB, RH","rattlesnake","452f654814",60.1,185,"adult","male",NA,NA,0.154500593180901,0.182970252063087,0.182970252063087
"12",2005-04-18,"JRB, RH","rattlesnake","12",78.4,290,"adult","male",NA,NA,1.13406433350221,1.18884562703618,1.18884562703618
"13",2005-04-18,"JRB, RH","rattlesnake","13",59.2,215,"sub.adult","female","nongravid",NA,0.434375947558417,0.133500971326706,0.434375947558417
"14",2005-04-18,"JRB, RH","rattlesnake","14",61.2,152,"sub.adult","male",NA,NA,0.153362296634367,0.243432706296442,0.243432706296442
"15",2005-04-18,"JRB, RH","rattlesnake","15",63.6,175,"adult","male",NA,NA,0.0612088083883955,0.375350788260126,0.375350788260126
"16",2005-04-18,"JRB, RH","rattlesnake","16",47.2,65,"juvenile","male",NA,NA,0.965000824329163,0.526089438491714,0.965000824329163
"17",2005-04-18,"JRB, RH","rattlesnake","445e0f1635",54.5,140,"sub.adult","female","nongravid",NA,0.265312438385373,0.124838605852176,0.265312438385373
"18",2005-04-18,"JRB, RH","rattlesnake","18",52.2,115,"sub.adult","female","nongravid",NA,0.498541900366637,0.251260101067373,0.498541900366637
"19",2005-04-18,"JRB, RH","rattlesnake","19",59.2,175,"adult","male",NA,NA,0.0612088083883955,0.133500971326706,0.133500971326706
"20",2005-04-18,"JRB, RH","rattlesnake","20",31.6,25,"neonate",NA,NA,NA,1.33816796349918,1.38355697125566,1.38355697125566
"21",2005-04-18,"JRB, RH","rattlesnake","21",39.3,30,"juvenile","male",NA,NA,1.29152207110293,0.960319791622174,1.29152207110293
"22",2005-04-18,"JRB, RH","rattlesnake","22",68.7,177,"adult","male",NA,NA,0.0798671653468965,0.655676712432955,0.655676712432955
"23",2005-04-18,"JRB, RH","rattlesnake","23",64.1,195,"adult","male",NA,NA,0.247792377973406,0.40283372200256,0.40283372200256
"24",2005-04-18,"JRB, RH","rattlesnake","430765231e",71.7,200,"adult","male",NA,NA,0.294438270369659,0.82057431488756,0.82057431488756
"25",2005-04-18,"JRB, RH","rattlesnake","25",60.5,200,"adult","male",NA,NA,0.294438270369659,0.204956599057034,0.294438270369659
"26",2005-04-18,"JRB, RH","rattlesnake","26",66,195,"adult","male",NA,NA,0.247792377973406,0.50726887022381,0.50726887022381
"27",2005-04-18,"JRB, RH","rattlesnake","27",42,45,"juvenile",NA,NA,NA,1.15158439391417,0.81191194941303,1.15158439391417
"28",2005-04-18,"JRB, RH","rattlesnake","28",80,290,"adult","male",NA,NA,1.13406433350221,1.27679101501197,1.27679101501197
"29",2005-04-18,"JRB, RH","rattlesnake","29",59.3,150,"adult","female","nongravid",NA,0.172020653592868,0.138997558075192,0.172020653592868
"30",2005-04-18,"JRB, RH","rattlesnake","30",60.7,135,"adult","male",NA,NA,0.311958330781626,0.215949772554008,0.311958330781626
"31",2005-04-18,"JRB, RH","rattlesnake","31",62.2,155,"adult","male",NA,NA,0.125374761196615,0.298398573781311,0.298398573781311
"32",2005-04-18,"JRB, RH","rattlesnake","32",60,240,"adult","male",NA,NA,0.66760540953968,0.1774736653146,0.66760540953968
